CLAVE_CASILLA,ID_ESTADO,estrato,PAN,PRI,PRD,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,PT,PVEM,MORENA,PANAL,PT_PVEM_MORENA_PANAL,PT_PVEM_MORENA,PVEM_MORENA_PANAL,PT_PVEM_PANAL,PT_MORENA_PANAL,PT_PVEM,PVEM_MORENA,PVEM_PANAL,PT_MORENA,PT_PANAL,MORENA_PANAL,MC,VIVA,LN,PES,RSP,FPM,CI1,CI2,CI3,CNR,NULOS
180112C0700,18,7,1,12,1,43,16,0,22,12,1,14,1,14,12,18,0,10,12,28,9,32,8,0,9,49,5,4,0,0,4,3,14,7,1
180113B0100,18,5,4,17,3,38,16,0,18,17,1,9,0,14,14,17,1,8,9,37,8,33,9,1,10,34,4,7,0,0,6,2,24,8,3
180113C0100,18,5,2,10,0,43,12,1,15,13,1,12,1,13,11,15,1,13,18,37,16,22,12,0,10,36,10,6,0,0,5,1,21,9,1
180113S0100,18,5,3,29,3,50,19,2,24,35,2,18,0,21,16,14,0,18,32,63,17,38,16,0,12,56,9,16,0,0,13,6,50,2,0
180114B0100,18,5,1,10,1,40,7,0,18,14,0,12,1,14,16,13,1,9,8,34,15,30,9,0,7,38,8,3,0,0,10,2,23,4,0
180114C0100,18,5,2,10,2,42,17,0,13,10,0,11,0,14,11,14,1,9,10,30,15,37,7,0,7,29,10,7,0,0,9,3,27,4,3
180114C0200,18,5,0,22,2,41,14,0,18,13,3,11,2,18,13,15,0,7,20,27,10,27,13,0,9,36,5,4,0,0,9,2,15,1,0
180114C0300,18,5,1,20,2,29,10,0,17,13,0,15,1,14,9,20,2,9,18,39,8,29,6,0,6,21,15,6,2,0,9,0,20,3,3
180115B0100,18,3,1,17,2,30,10,0,12,24,2,14,2,16,4,14,0,3,16,35,12,32,7,0,9,43,12,8,0,0,8,1,27,3,2
180115C0100,18,3,0,13,2,34,10,0,16,20,3,11,1,18,5,15,0,9,10,37,18,32,5,0,9,29,13,10,0,0,10,4,36,3,2
180115C0200,18,3,2,13,2,41,11,1,19,25,4,17,1,14,18,12,2,4,13,31,12,26,8,0,12,34,7,4,0,0,13,4,23,4,0
180115C0300,18,3,0,11,1,39,10,0,13,19,4,8,2,16,14,11,1,10,15,29,14,27,4,0,8,40,4,7,0,0,4,3,23,3,0
180115C0400,18,3,0,9,2,43,13,0,11,16,1,17,0,17,9,12,1,5,11,41,11,23,3,0,10,35,6,10,0,0,3,1,32,2,1
180115C0500,18,3,2,15,0,29,7,1,17,17,4,16,0,11,8,23,1,12,20,30,12,23,8,0,12,39,6,10,2,0,6,2,15,1,2
180115C0600,18,3,1,14,1,39,10,0,17,17,0,6,1,7,10,10,1,6,10,42,16,23,13,0,10,29,7,10,1,1,6,4,23,8,0
180115C0700,18,3,1,8,1,31,6,1,19,9,1,13,3,20,17,15,0,7,15,38,13,33,10,1,10,43,12,5,1,0,6,3,21,4,1
180115C0800,18,3,0,14,3,34,18,0,13,10,2,13,1,9,14,7,0,12,17,33,16,29,10,0,7,36,3,8,0,0,7,6,23,5,2
180115C0900,18,3,0,13,1,29,11,0,9,17,4,17,1,16,10,12,1,5,11,45,12,31,7,0,13,34,2,8,1,0,7,7,24,5,1
180115C1000,18,3,1,12,3,31,9,0,11,16,3,16,0,12,17,15,3,10,9,29,9,41,3,1,9,27,5,4,1,0,7,2,29,4,2
180115C1100,18,3,0,11,1,33,17,0,14,13,1,11,1,14,13,20,1,11,15,25,13,30,9,0,12,32,3,7,0,0,10,4,23,4,1
180115C1200,18,3,0,13,1,30,8,0,12,16,3,11,1,11,10,13,0,13,14,38,9,34,4,0,12,39,3,5,0,0,4,3,28,5,0
180115C1300,18,3,1,14,1,32,14,0,18,19,0,11,2,16,13,9,1,17,19,38,16,26,6,0,8,32,5,8,0,0,7,1,24,1,0
180115C1400,18,3,0,21,0,35,15,0,15,12,1,11,1,14,17,14,0,5,14,52,13,38,4,0,11,33,13,8,0,0,11,1,24,5,0
180115C1500,18,3,0,16,3,32,9,0,16,12,2,10,0,17,15,10,0,6,19,29,8,33,3,1,9,33,19,3,0,0,12,2,18,7,1
180116B0100,18,7,2,21,1,27,17,0,16,22,3,12,2,14,23,13,0,12,13,41,19,23,9,0,4,33,4,9,0,0,6,2,23,3,1
180116C0100,18,7,0,16,1,36,14,0,11,12,0,10,0,6,11,17,0,11,14,32,8,28,9,0,10,31,8,7,0,0,6,2,25,4,1
180116C0200,18,7,2,17,0,53,17,0,10,23,1,11,1,16,14,8,1,8,11,31,14,24,8,0,7,35,8,4,1,0,5,2,19,6,3
180116C0300,18,7,1,17,1,31,12,0,14,13,2,12,3,12,13,7,1,9,16,43,23,16,10,0,6,41,6,7,0,0,6,0,26,5,2
180116C0400,18,7,1,29,3,38,23,0,19,15,3,9,2,12,11,11,0,7,20,25,9,30,4,0,5,41,12,6,0,0,8,2,24,5,1
180116C0500,18,7,0,15,2,28,8,0,8,22,2,11,1,16,17,7,1,7,22,34,12,28,11,0,10,33,8,8,0,0,8,3,26,4,1
180116C0600,18,7,1,7,0,32,16,1,7,13,1,8,1,14,20,19,1,9,20,30,14,34,9,0,14,24,6,12,0,0,8,2,25,9,0
180116C0700,18,7,2,10,2,40,14,0,16,11,2,11,0,7,9,7,0,5,21,28,11,33,12,0,5,41,9,9,0,0,7,3,23,3,0
180116C0800,18,7,1,8,1,41,11,0,13,11,1,10,1,24,15,19,1,11,19,38,13,32,4,0,14,33,7,9,0,0,11,1,22,6,0
180116C0900,18,7,0,21,3,39,12,0,12,21,0,11,1,11,14,9,0,6,15,40,12,23,8,0,18,35,8,7,0,0,11,3,25,6,3
180117B0100,18,3,1,18,1,38,20,0,14,13,3,11,1,16,15,13,2,3,16,41,16,24,6,0,6,41,9,6,0,0,6,2,29,5,1
180117C0100,18,3,0,13,0,45,8,0,17,22,3,9,1,14,12,13,1,12,15,31,11,27,9,1,14,25,9,8,1,0,9,2,39,4,0
180117C0200,18,3,0,10,3,38,23,0,12,22,1,12,0,14,5,14,0,9,20,29,19,32,4,0,6,39,11,6,0,1,9,1,33,7,1
180117C0300,18,3,2,14,2,36,13,0,11,9,0,9,2,12,13,16,3,15,17,34,11,32,13,1,8,33,14,5,0,0,7,3,16,3,3
180118B0100,18,3,2,20,0,33,19,0,14,14,4,17,2,8,11,10,0,11,25,38,13,29,7,0,9,35,8,2,0,0,3,1,35,3,1
180118C0100,18,3,2,17,1,36,14,0,12,18,0,10,1,12,20,14,0,12,20,42,12,29,7,0,10,30,4,13,0,0,7,1,20,2,2
180118C0200,18,3,0,17,2,36,10,0,15,22,0,7,1,7,15,13,1,9,12,42,11,30,10,0,6,43,7,8,0,0,8,3,20,4,0
180118C0300,18,3,0,17,0,36,14,0,24,14,0,4,2,11,16,17,1,11,14,33,9,22,5,0,8,38,7,14,0,0,8,1,18,2,2
180118C0400,18,3,3,13,2,38,9,0,13,14,2,10,0,14,9,12,1,7,10,31,8,25,8,0,10,35,8,7,0,0,10,3,29,7,0
180118C0500,18,3,0,24,2,29,18,0,14,20,1,19,0,13,14,13,0,13,15,24,13,27,9,0,13,36,10,10,0,0,3,3,25,5,1
180118C0600,18,3,0,8,1,38,9,0,18,10,2,12,1,16,12,12,2,9,18,30,14,36,11,0,7,44,5,5,1,0,2,2,28,6,1
180118C0700,18,3,0,9,0,43,10,0,16,15,1,15,0,22,14,12,3,11,13,41,9,16,11,0,11,35,6,10,0,0,9,2,18,5,2
180118C0800,18,3,1,15,1,43,12,0,14,16,1,13,0,6,15,14,2,7,13,34,13,32,10,0,7,40,5,8,0,0,4,1,21,2,2
180118C0900,18,3,2,17,2,47,6,1,13,20,2,17,1,13,12,15,3,6,23,33,7,39,4,0,10,30,6,3,0,0,11,0,32,6,1
180118C1000,18,3,0,19,2,39,18,0,15,22,0,13,2,16,10,10,0,12,20,31,18,32,8,0,12,34,7,6,0,0,5,4,24,5,2
180118E0100,18,3,1,11,1,35,15,0,18,10,1,10,0,15,9,10,0,6,11,38,15,25,8,1,9,39,7,3,0,0,8,3,29,6,2
180118E0101,18,3,1,14,2,26,13,1,20,15,3,11,1,7,21,14,2,5,20,36,12,36,13,0,17,31,8,7,0,0,5,2,15,2,0
180118E0102,18,3,1,17,4,40,10,0,16,24,2,10,3,8,9,12,0,7,22,32,9,42,8,0,9,35,8,9,2,0,7,5,19,3,1
180118E0103,18,3,2,19,0,43,13,0,11,17,2,12,2,14,17,8,0,5,15,29,4,33,10,0,4,41,10,8,0,0,7,1,23,5,1
180118E0104,18,3,1,14,0,29,11,1,15,18,1,14,0,16,10,16,0,12,18,26,11,32,7,0,12,47,2,13,0,0,8,3,25,5,2
180118E0105,18,3,1,11,1,32,8,0,21,19,0,11,0,11,10,15,1,5,26,38,11,32,10,1,10,36,7,13,1,0,5,6,26,5,0
180118E0200,18,3,1,15,1,45,9,0,14,11,0,9,2,12,10,2,1,3,11,30,9,29,8,0,9,38,7,9,0,0,7,0,27,2,1
180118E0201,18,3,2,8,0,37,6,1,8,15,2,12,3,12,12,12,3,9,22,25,10,31,5,0,9,35,9,9,0,0,7,5,26,5,0
180118E0202,18,3,1,20,2,41,10,1,16,12,0,11,2,12,8,8,0,6,25,39,10,23,12,1,10,42,11,6,0,0,9,2,21,5,0
180118E0203,18,3,3,14,1,36,8,0,13,14,0,6,1,15,7,12,0,8,30,38,16,30,9,0,6,32,4,8,0,0,6,2,18,5,2
180118E0300,18,3,0,13,1,27,11,1,10,21,1,18,0,8,10,8,0,7,23,30,15,27,11,0,10,37,8,11,0,0,10,4,22,4,0
180118E0301,18,3,0,8,1,31,11,0,19,10,0,11,1,12,14,9,1,5,16,31,14,22,8,0,9,39,8,4,0,0,9,0,24,3,2
180119B0100,18,3,1,14,2,35,14,0,9,13,1,6,2,11,9,12,2,6,12,36,7,30,4,0,8,46,8,9,0,0,9,1,23,4,1
180119C0100,18,3,1,12,0,33,7,0,8,11,1,15,1,8,10,12,0,8,16,34,8,26,5,1,8,35,7,7,0,0,7,0,18,2,1
180119C0200,18,3,1,10,2,31,16,1,18,8,0,10,1,12,5,14,0,8,22,40,7,22,8,0,6,37,6,7,0,0,12,4,11,5,1
180119C0300,18,3,0,20,0,33,11,0,16,11,2,5,1,19,14,8,0,10,10,36,9,29,3,1,13,43,5,5,1,0,7,1,23,2,0
180119C0400,18,3,0,15,2,37,14,1,14,10,0,11,0,9,14,13,1,7,10,28,14,18,2,0,11,42,7,11,0,0,10,2,15,3,1
180119C0500,18,3,0,17,2,30,13,0,12,10,0,7,0,14,13,18,1,8,14,36,11,32,9,0,9,31,8,10,1,0,5,1,13,6,2
180120B0100,18,9,0,16,1,22,14,0,17,10,1,9,0,12,9,15,1,10,15,24,8,25,11,0,13,35,13,10,0,0,6,2,18,5,0
180120C0100,18,9,1,9,2,24,12,1,14,12,3,15,1,11,13,18,1,10,17,26,9,36,7,0,3,29,6,8,0,0,6,3,29,8,1
180120C0200,18,9,1,13,3,36,13,1,18,20,1,11,0,21,13,10,2,5,15,34,13,33,6,0,8,31,6,7,0,0,11,2,26,7,2
180120C0300,18,9,1,18,1,42,15,1,11,10,1,10,1,13,13,11,0,14,18,36,13,25,9,0,6,27,7,7,0,0,8,2,25,10,0
180120C0400,18,9,0,16,1,33,14,0,14,13,2,13,1,15,13,16,0,3,14,35,13,33,6,0,8,37,7,10,0,1,6,1,28,3,2
180120C0500,18,9,1,12,0,35,12,0,9,19,1,11,0,15,12,16,1,7,17,28,10,23,7,0,13,35,5,10,2,0,7,2,17,4,1
180121B0100,18,7,0,13,1,30,9,1,9,12,1,5,2,14,7,14,0,6,19,26,10,26,10,0,11,24,8,8,0,0,9,2,17,3,1
180121C0100,18,7,0,10,1,27,9,0,14,7,4,12,1,7,7,13,0,2,9,22,9,14,8,0,8,33,8,8,1,0,6,4,26,8,0
180121C0200,18,7,0,12,4,33,11,1,9,10,0,10,2,11,8,12,0,7,7,35,13,28,7,0,8,23,3,4,0,0,7,1,18,3,0
180122B0100,18,3,0,13,0,29,13,0,12,12,2,21,0,9,11,11,1,8,17,35,9,28,10,0,8,37,5,9,0,0,9,3,21,7,2
180122C0100,18,3,0,14,1,39,9,0,11,17,2,11,1,13,7,11,0,8,21,40,17,29,5,0,13,27,7,8,2,0,5,4,19,4,2
180122C0200,18,3,0,14,1,33,16,1,13,20,1,12,2,14,15,11,4,10,12,31,14,16,4,0,12,36,4,6,0,0,3,2,27,10,1
180122C0300,18,3,1,16,0,31,11,0,18,19,1,10,1,16,9,11,1,13,20,31,15,27,9,0,10,37,6,8,0,0,6,2,23,3,0
180123B0100,18,3,0,9,1,42,21,0,13,11,0,7,1,15,8,15,0,6,13,20,6,25,11,0,10,36,8,7,0,0,3,3,24,6,0
180123C0100,18,3,2,14,0,29,6,0,10,15,1,9,1,10,16,13,0,5,10,40,7,26,5,0,3,23,4,9,0,0,7,2,18,1,0
180123C0200,18,3,0,10,1,25,12,1,15,11,1,6,2,15,10,11,0,13,19,30,15,15,9,0,11,25,2,3,0,0,5,1,27,5,0
180123C0300,18,3,2,11,1,33,14,0,12,15,2,11,0,11,13,9,1,4,11,26,4,26,4,1,4,32,8,6,0,0,9,0,19,7,3
180124B0100,18,3,1,12,0,30,4,0,19,16,0,7,1,15,12,14,1,5,11,30,12,16,8,0,9,21,5,8,2,0,8,3,15,5,1
180124C0100,18,3,0,9,2,24,8,0,9,12,2,10,1,10,9,8,0,9,15,27,15,25,10,0,7,21,4,4,2,0,6,0,16,3,1
180125B0100,18,5,0,10,2,30,11,0,8,12,0,10,2,11,6,13,0,15,11,22,10,31,5,1,8,33,4,7,0,0,8,2,16,6,1
180125C0100,18,5,0,13,5,25,7,0,15,10,0,10,1,11,10,10,1,11,17,25,6,25,10,0,4,37,6,1,0,0,8,1,15,5,2
180126B0100,18,5,1,12,3,28,15,0,11,8,0,7,2,11,10,7,1,4,14,19,5,16,11,0,12,27,8,3,0,0,5,1,23,3,0
180126C0100,18,5,0,10,2,31,10,0,8,17,0,8,3,15,8,5,0,3,17,22,5,26,7,0,4,31,9,8,0,0,5,1,20,1,0
180126C0200,18,5,0,8,0,34,11,0,11,9,0,5,0,8,7,16,0,8,12,23,6,23,9,1,6,20,5,5,0,0,7,2,26,4,2
180127B0100,18,5,0,19,1,28,16,0,7,28,1,15,0,12,22,9,2,9,16,26,19,29,14,0,10,39,11,5,0,0,3,3,25,2,3
180128B0100,18,3,2,9,1,25,6,0,9,7,0,6,0,5,11,8,2,2,10,22,4,13,2,0,8,18,0,7,1,0,3,0,18,2,0
180128C0100,18,3,0,11,1,25,10,0,10,9,1,5,1,12,6,6,0,7,13,17,6,17,3,0,5,22,9,6,0,0,3,0,23,2,0
180129B0100,18,5,0,14,1,30,7,0,12,20,0,6,0,13,7,9,1,11,12,28,8,27,2,0,7,30,7,10,0,0,5,0,27,3,1
180129C0100,18,5,2,12,2,29,16,0,15,13,0,11,0,14,9,8,1,5,11,23,12,16,4,0,7,38,4,6,0,0,5,0,23,2,1
180130B0100,18,5,4,17,1,40,13,1,20,11,0,11,3,12,7,14,1,9,11,31,12,26,4,0,7,32,5,12,0,0,6,2,30,3,0
180131B0100,18,5,0,9,0,34,11,1,9,11,2,10,0,11,9,14,0,6,14,25,8,31,5,1,11,31,5,6,0,0,8,1,26,7,1
180132B0100,18,5,1,13,0,24,7,1,10,20,2,7,0,14,9,9,0,3,20,27,12,28,6,0,3,23,5,8,0,0,8,1,23,6,1
180132C0100,18,5,0,17,5,24,14,0,17,13,2,7,0,12,12,11,0,11,21,29,10,24,4,0,2,37,11,6,0,0,5,3,13,4,0
180132C0200,18,5,0,14,3,27,9,1,12,15,1,11,0,13,12,6,0,9,16,23,6,21,8,0,11,29,6,4,0,0,4,4,20,4,1
180133B0100,18,5,1,8,1,30,7,0,13,9,2,5,1,10,12,8,1,7,8,28,7,18,7,2,11,32,5,7,0,0,5,3,24,5,1
180133C0100,18,5,0,9,0,29,18,0,6,16,1,5,2,17,6,13,1,7,14,20,8,20,8,0,7,36,2,9,0,0,5,2,29,3,1
180133C0200,18,5,1,11,0,23,11,0,19,12,1,5,2,16,12,13,0,5,11,28,6,27,4,1,1,23,12,4,0,0,8,1,20,2,1
180134B0100,18,5,0,6,0,16,11,1,5,9,1,6,0,16,4,11,0,7,10,23,9,14,4,0,4,26,6,6,0,0,8,3,21,2,0
180134C0100,18,5,0,8,2,26,8,0,11,5,1,8,1,12,16,9,1,4,10,20,7,17,7,0,6,24,7,3,0,0,7,1,13,2,3
180135B0100,18,5,1,5,1,19,4,0,8,11,0,6,0,10,12,13,0,6,6,17,6,24,4,0,6,21,6,7,0,0,7,2,11,4,0
180135C0100,18,5,3,5,0,20,8,0,9,18,0,7,0,13,3,9,1,2,9,18,11,15,6,0,7,27,3,4,1,0,4,2,13,5,0
180136B0100,18,5,2,13,3,40,13,0,13,16,1,13,0,11,7,14,2,11,14,28,14,27,4,0,9,28,6,4,0,0,8,1,21,4,2
180137B0100,18,5,1,12,0,26,10,0,12,10,1,11,0,10,11,10,1,8,9,20,5,23,6,0,5,18,7,3,0,0,10,2,15,5,0
180137C0100,18,5,0,15,1,12,10,0,11,13,0,14,1,14,5,6,0,9,12,24,4,24,6,1,8,24,4,6,1,0,6,2,8,2,1
180137C0200,18,5,0,13,1,29,5,1,17,14,0,8,2,6,8,9,1,7,10,18,4,18,6,0,9,24,5,6,0,0,2,2,15,4,3
180137S0100,18,5,2,18,1,68,18,0,26,28,2,25,0,25,17,15,3,16,37,58,26,49,12,0,19,46,7,12,0,0,11,0,40,13,1
180138B0100,18,5,1,13,1,35,7,0,13,20,4,11,0,9,4,11,2,12,10,29,17,27,7,0,11,31,7,13,1,0,5,4,20,6,1
180139B0100,18,9,1,16,3,34,19,2,15,7,0,12,0,17,11,19,1,11,19,33,9,24,10,0,8,33,11,5,0,0,7,0,19,3,0
180140B0100,18,9,0,8,1,30,3,0,7,12,2,9,0,11,11,14,1,4,6,22,8,25,9,1,6,29,2,2,0,0,12,0,11,5,2
180141B0100,18,9,2,13,1,28,15,0,15,17,1,8,1,15,10,13,1,10,12,22,8,20,10,0,9,36,4,12,0,1,8,1,19,3,0
180142B0100,18,7,0,4,1,6,0,0,3,4,1,1,0,3,3,2,0,3,3,5,2,4,1,1,3,8,0,3,1,0,2,0,2,1,0
180143B0100,18,7,0,7,2,11,11,0,4,0,0,2,0,2,1,4,0,1,8,10,7,12,3,0,3,7,5,2,0,0,2,1,7,3,0
180143E0100,18,7,1,7,0,7,3,0,2,2,1,2,0,8,2,4,1,3,5,8,5,6,2,0,1,4,0,2,0,0,1,0,5,0,0
180144B0100,18,9,1,12,2,27,11,0,13,8,0,12,1,18,16,14,0,7,14,42,13,28,3,0,9,30,8,10,0,0,5,4,18,5,1
180145B0100,18,7,0,12,2,23,13,1,11,11,0,9,0,14,8,11,1,9,9,27,7,26,8,0,3,29,7,3,1,0,8,1,23,0,2
180145E0100,18,7,1,6,0,13,2,0,0,3,0,3,0,5,4,3,0,0,5,5,3,11,1,0,2,16,3,2,0,0,0,0,11,0,1
180146B0100,18,7,0,5,2,13,9,0,4,6,0,8,0,5,5,1,1,0,7,14,5,8,2,0,4,12,2,3,0,0,2,0,5,0,0
180147B0100,18,7,3,8,1,23,7,0,8,12,1,5,0,7,7,8,0,8,5,12,10,16,7,0,10,20,5,7,0,0,4,1,13,2,0
180148B0100,18,5,0,12,1,37,10,1,22,14,1,21,1,15,13,18,1,7,17,32,10,17,11,1,11,42,11,7,1,0,7,4,20,3,0
180149B0100,18,5,0,11,1,35,14,0,11,17,1,11,0,16,12,7,1,4,18,28,6,35,8,0,7,28,8,5,0,0,4,2,18,1,1
180150B0100,18,5,1,9,5,35,12,0,10,11,1,8,0,13,9,9,0,12,13,35,12,21,8,0,5,25,7,9,0,0,10,1,16,3,3
180151B0100,18,9,3,5,2,27,11,0,7,9,3,8,0,19,12,11,0,5,9,32,13,24,5,0,9,22,8,6,0,0,1,2,21,6,0
180151C0100,18,9,2,13,0,26,7,0,16,17,1,9,0,9,6,15,1,9,13,22,4,21,6,0,4,32,6,7,0,0,8,1,19,3,1
180152B0100,18,7,0,9,1,21,12,0,7,14,1,8,0,9,10,12,1,5,11,28,9,12,7,0,5,29,7,3,0,0,3,2,12,4,2
180152C0100,18,7,1,10,0,18,6,0,7,8,1,14,0,8,7,9,1,10,5,34,8,20,5,0,4,31,6,3,1,0,7,1,13,0,1
180153B0100,18,7,0,4,0,10,1,0,5,6,0,2,0,6,6,5,1,3,7,10,6,10,3,0,8,15,6,2,0,0,3,3,4,2,2
180154B0100,18,7,1,13,2,30,6,0,7,10,4,7,1,6,8,7,1,6,13,22,7,16,7,0,3,20,12,4,0,0,4,1,18,2,1
180155B0100,18,5,0,11,2,30,5,0,12,15,2,10,2,7,9,8,0,6,9,21,7,18,3,0,5,28,5,4,0,0,6,2,18,2,0
180156B0100,18,3,0,11,0,25,10,2,8,9,0,6,0,5,10,16,1,5,11,20,12,17,7,0,9,21,4,3,0,0,2,0,17,4,2
180157B0100,18,9,0,14,0,42,10,0,15,15,3,12,2,19,11,14,2,1,16,35,11,25,8,3,11,29,14,7,0,0,6,2,20,3,0
180158B0100,18,7,0,13,2,30,8,0,11,11,1,6,1,11,8,9,0,3,11,27,7,18,4,0,10,24,5,4,0,1,5,4,18,5,0
180158C0100,18,7,0,8,0,32,13,0,8,12,1,8,0,10,9,7,0,5,3,33,3,24,6,0,7,28,4,13,0,0,3,2,17,5,1
180159B0100,18,7,1,10,0,20,4,0,8,19,2,8,0,2,2,7,1,6,14,15,11,14,4,0,7,25,6,2,0,0,4,1,14,5,1
180159C0100,18,7,0,17,4,24,5,0,11,6,0,9,1,2,6,10,1,3,14,20,5,20,4,1,4,28,3,3,1,0,2,2,12,1,0
180160B0100,18,5,0,8,1,34,11,0,13,19,2,15,1,16,15,18,0,5,13,26,11,32,8,0,14,33,8,6,2,0,7,4,25,3,1
180161B0100,18,5,2,12,1,20,9,0,9,6,1,7,1,11,10,7,1,8,21,24,10,21,4,1,8,30,9,2,0,0,9,0,18,1,2
180161C0100,18,5,1,14,1,20,8,0,11,15,1,10,0,12,12,10,0,9,7,20,9,23,6,0,4,36,4,1,0,0,11,3,27,7,0
180162B0100,18,3,0,7,0,29,5,1,18,10,2,5,1,13,7,8,0,4,9,26,10,17,7,0,7,35,15,7,0,0,9,2,21,3,1
180163B0100,18,7,0,16,1,30,5,0,7,9,1,10,1,12,9,13,0,8,14,20,5,18,6,0,5,23,5,3,0,0,5,1,10,1,0
180163C0100,18,7,0,10,2,23,9,1,10,7,1,10,0,5,6,15,0,7,13,22,10,23,3,1,5,16,7,3,0,0,6,1,18,3,1
180164B0100,18,7,0,6,2,14,5,0,9,10,0,3,0,5,8,7,0,9,8,18,9,19,3,0,6,13,7,5,1,0,5,1,12,3,1
180164C0100,18,7,2,10,3,11,8,0,11,5,2,11,0,6,5,8,1,2,12,24,8,11,2,0,2,20,5,5,0,0,2,2,9,3,1
180165B0100,18,5,1,16,1,34,11,0,9,27,1,14,2,10,18,13,0,6,22,22,21,29,7,0,9,43,6,1,0,0,18,3,22,7,1
180166B0100,18,7,1,4,1,30,3,1,9,13,1,6,1,10,11,8,0,3,8,26,9,16,5,0,11,25,4,6,0,0,5,1,14,4,2
180166C0100,18,7,0,6,1,22,6,0,6,13,1,12,2,9,16,9,1,1,15,25,4,17,7,0,7,16,10,8,0,0,5,2,11,1,0
180167B0100,18,7,0,20,1,29,6,0,11,14,0,9,1,7,4,8,0,5,15,29,9,17,9,0,8,22,8,6,0,0,5,3,29,5,1
180167C0100,18,7,3,15,4,28,12,0,9,12,1,13,0,8,8,15,2,3,11,22,16,16,7,0,3,30,6,5,0,0,6,0,13,8,0
180168B0100,18,3,0,13,3,36,10,0,17,16,1,12,0,9,11,11,0,6,11,27,11,27,8,0,8,29,7,6,0,0,10,2,22,2,1
180168C0100,18,3,2,18,4,26,20,0,10,18,3,9,0,16,9,13,0,2,17,16,11,29,8,0,11,28,4,6,0,0,8,4,22,6,2
180169B0100,18,7,1,13,0,19,8,0,7,14,1,6,0,6,7,7,1,5,4,20,6,14,2,0,4,13,2,6,0,0,7,3,12,4,3
180169C0100,18,7,1,11,1,23,8,2,8,12,2,7,0,6,9,4,1,2,9,17,2,20,6,0,3,17,10,2,0,0,3,1,4,3,1
180170B0100,18,7,1,12,1,12,3,0,2,6,0,5,0,8,2,7,1,4,3,15,7,11,0,0,2,25,3,3,0,0,3,0,12,1,1
180171B0100,18,7,1,10,1,28,7,0,20,18,1,10,1,22,8,7,0,5,8,23,4,28,7,0,9,30,4,7,0,0,4,2,14,4,1
180171C0100,18,7,2,8,3,29,12,0,13,11,3,7,0,7,4,6,2,5,11,20,8,25,11,0,5,18,3,7,0,0,1,0,27,3,1
180172B0100,18,7,1,2,0,4,3,0,2,4,0,4,0,1,3,4,1,1,1,6,0,3,3,0,2,10,1,2,0,0,6,0,6,0,0
180173B0100,18,5,0,3,2,25,9,0,10,12,1,7,1,8,10,9,1,13,13,17,6,23,9,0,5,26,5,7,0,0,4,3,11,3,0
180173C0100,18,5,0,11,3,29,4,0,10,12,1,9,1,9,5,9,0,4,16,22,5,35,6,0,7,26,9,8,1,0,2,2,14,1,0
180174B0100,18,7,0,4,1,7,4,0,2,5,0,2,0,2,1,2,1,2,5,3,0,7,2,0,2,7,3,1,0,0,1,1,5,0,0
180175B0100,18,5,1,8,2,27,7,0,13,8,0,9,0,11,3,8,2,4,9,20,15,18,4,1,8,31,6,5,0,0,2,0,16,3,2
180176B0100,18,5,2,11,1,32,9,0,6,10,3,11,1,13,7,11,0,6,17,19,11,22,6,0,10,31,9,4,0,0,13,0,19,1,1
180177B0100,18,9,0,1,1,32,10,0,11,10,0,9,1,12,7,3,0,4,9,19,11,18,4,0,6,20,6,5,0,0,1,2,27,3,1
180177C0100,18,9,1,10,3,20,9,2,4,16,0,6,0,12,5,7,2,7,15,18,2,12,3,0,7,23,6,3,0,0,7,3,18,7,2
180178B0100,18,7,0,6,0,17,6,1,7,16,1,6,0,5,8,9,0,11,13,23,2,12,5,0,8,18,3,4,0,0,4,1,15,5,1
180179B0100,18,7,0,8,1,22,4,0,15,6,2,5,0,15,5,5,1,8,17,19,12,18,8,1,3,29,7,6,1,0,5,1,12,4,2
180180B0100,18,7,0,7,1,25,6,0,5,11,0,7,0,6,8,6,1,3,6,17,7,17,4,0,7,25,2,4,0,0,4,1,15,2,0
180180C0100,18,7,0,11,3,14,6,0,6,5,3,4,0,6,6,6,1,4,12,18,4,20,5,0,6,19,9,6,0,0,2,0,9,7,1
180181B0100,18,7,0,5,2,18,3,1,5,7,0,1,0,3,7,7,1,4,11,20,2,21,4,1,4,18,7,1,0,0,1,1,9,1,2
180182B0100,18,7,0,5,0,7,7,0,5,3,1,3,0,3,6,7,0,2,11,8,1,10,3,2,0,3,5,0,0,0,4,0,4,5,0
180183B0100,18,7,2,12,0,19,8,0,3,10,0,7,1,6,14,9,0,6,6,21,5,13,5,0,9,18,3,6,0,0,9,0,12,0,1
180183C0100,18,7,0,8,0,30,9,0,5,9,0,7,0,6,10,11,0,5,14,19,5,15,5,1,5,26,4,3,1,0,6,2,14,0,1
180183E0100,18,7,0,17,1,27,9,1,13,16,1,11,1,16,18,8,0,6,19,42,4,23,7,0,5,29,14,8,0,0,6,3,31,4,0
180183E0101,18,7,2,11,0,23,9,0,8,14,0,8,2,9,10,19,1,7,16,25,10,28,11,0,6,40,6,8,1,0,8,2,21,7,0
180183E0102,18,7,2,12,1,38,11,1,10,14,2,9,1,18,10,18,0,5,15,30,10,26,6,0,6,28,7,6,0,0,8,0,24,6,1
