CLAVE_CASILLA,ID_ESTADO,estrato,PAN,PRI,PRD,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,PT,PVEM,MORENA,PANAL,PT_PVEM_MORENA_PANAL,PT_PVEM_MORENA,PVEM_MORENA_PANAL,PT_PVEM_PANAL,PT_MORENA_PANAL,PT_PVEM,PVEM_MORENA,PVEM_PANAL,PT_MORENA,PT_PANAL,MORENA_PANAL,MC,VIVA,LN,PES,RSP,FPM,CNR,NULOS
180358B0100,18,6,0,12,0,23,7,0,13,10,0,5,0,2,4,8,2,4,9,28,8,18,4,0,3,22,6,3,0,0,1,2
180161B0100,18,5,1,13,2,25,16,0,8,12,2,14,0,13,5,11,0,11,12,18,15,21,10,0,8,34,9,7,2,0,0,0
180798C0100,18,4,0,11,1,27,9,0,6,15,1,9,0,4,7,8,0,3,19,17,8,23,5,0,5,19,3,1,1,0,1,0
180396E0100,18,6,0,0,0,3,1,0,5,4,0,0,0,2,0,0,0,1,2,7,4,6,1,0,0,8,0,1,0,0,1,0
180625B0100,18,4,2,17,1,26,11,0,14,9,1,9,2,13,10,16,0,5,18,24,21,19,6,0,11,32,9,6,0,0,2,1
180663C0100,18,4,3,17,0,44,14,0,19,10,1,10,2,11,16,12,1,8,12,34,10,34,9,0,6,40,10,4,1,0,1,0
180499B0100,18,6,0,4,1,16,6,0,3,9,0,3,1,4,7,9,0,5,8,16,4,5,5,0,5,14,6,4,0,0,1,0
180628B0100,18,2,0,13,2,34,10,0,13,15,0,12,0,8,4,9,0,5,13,17,10,24,10,1,5,29,9,1,0,0,0,1
180312B0100,18,8,1,14,0,31,10,1,14,8,1,4,0,15,6,13,1,9,16,35,9,30,6,0,8,33,5,5,1,1,1,0
180612B0100,18,4,0,12,2,35,10,1,17,12,3,12,1,7,18,12,1,9,17,26,10,37,7,1,13,41,9,5,0,0,2,3
180491B0100,18,6,0,12,0,21,10,0,12,10,0,6,0,5,6,16,0,7,12,23,14,29,3,1,8,30,6,8,0,0,1,0
180124C0100,18,3,0,13,0,31,14,0,11,18,1,8,0,8,11,13,0,7,17,22,8,26,8,0,9,35,5,3,1,0,0,2
180401B0100,18,3,0,13,2,25,7,1,11,18,0,10,0,16,5,5,1,7,20,24,8,18,13,0,8,17,9,5,0,0,3,2
180541B0100,18,6,1,9,1,24,10,0,7,10,1,7,1,6,11,4,0,7,18,27,7,13,6,1,3,20,3,3,0,0,1,1
180118E0300,18,3,0,16,2,32,17,0,14,19,1,21,1,14,17,18,2,8,19,39,11,32,6,0,6,31,13,13,0,0,1,1
180293B0100,18,6,1,8,0,15,5,0,7,9,1,4,0,4,4,6,0,0,3,12,4,19,4,0,2,14,3,4,0,0,1,0
180901C0100,18,4,0,8,1,17,9,0,10,8,2,6,3,9,8,13,0,9,13,16,7,22,5,0,8,22,5,9,1,0,0,2
180256B0100,18,9,0,14,1,31,12,1,11,11,0,12,0,14,10,17,0,8,19,32,12,25,10,0,7,36,7,7,0,0,1,1
180899B0100,18,2,0,8,1,27,7,0,11,14,0,13,1,13,9,11,1,6,16,33,12,24,10,0,9,27,4,7,0,0,2,1
180878E0100,18,9,0,5,0,6,4,0,0,2,0,6,0,2,1,4,0,0,3,7,3,8,0,0,2,2,1,0,0,0,1,0
180544B0100,18,6,1,10,0,23,6,0,15,10,2,8,0,10,8,10,3,4,7,27,5,17,4,0,9,23,7,3,0,0,2,1
180317B0100,18,8,0,6,1,14,7,0,12,11,1,4,1,10,4,9,0,7,9,28,12,16,0,0,5,22,3,4,0,0,0,0
180369B0100,18,8,0,8,3,26,6,0,17,5,5,6,0,6,9,8,0,5,12,24,14,25,12,0,12,22,10,5,0,0,0,1
180349B0100,18,6,0,17,0,29,6,0,10,13,0,12,1,10,5,11,0,6,9,29,8,23,6,0,7,34,10,6,0,0,1,1
180286E0100,18,8,0,7,0,10,6,0,2,4,0,3,2,3,5,5,2,3,5,7,5,9,2,0,1,8,5,2,0,0,0,0
180508C0100,18,6,1,11,1,25,8,0,17,12,1,9,1,14,10,11,1,15,24,27,12,26,10,0,13,37,5,6,0,0,3,0
180172B0100,18,7,0,5,0,7,0,0,3,4,0,2,0,3,4,4,0,3,2,7,4,6,2,0,1,8,2,4,0,0,1,0
180904C0200,18,4,1,19,1,39,16,0,13,11,1,13,2,15,14,7,0,10,21,42,9,26,6,0,2,34,8,6,2,0,2,0
180980B0100,18,9,0,9,0,28,12,1,14,16,0,12,1,12,10,10,0,11,15,37,9,27,6,0,8,33,7,5,0,0,1,2
180791B0100,18,2,0,6,0,11,1,0,2,6,0,2,1,4,2,3,0,3,3,8,0,12,2,0,0,11,2,1,0,0,0,0
180440B0100,18,1,2,14,0,28,13,0,10,7,0,9,1,10,3,12,0,10,7,23,12,23,5,1,13,21,6,2,0,0,1,1
180215C0100,18,3,2,13,1,33,8,0,16,20,0,11,2,17,12,13,1,9,14,39,12,29,11,0,7,30,11,8,0,0,1,3
180713C0100,18,4,0,15,1,39,11,0,10,24,2,12,0,10,16,16,1,7,16,40,21,38,12,1,11,40,5,9,0,0,0,2
180437C0200,18,1,2,16,1,43,8,1,13,19,1,7,0,9,14,13,1,3,24,38,6,25,12,0,9,35,13,7,0,0,0,1
180009B0100,18,1,1,23,1,46,20,0,12,18,2,13,3,19,12,21,0,11,20,40,19,28,7,0,16,36,7,10,0,0,1,1
180943B0100,18,4,0,14,2,38,7,1,14,16,1,15,1,14,12,14,0,13,20,39,15,31,5,1,12,44,8,7,1,0,1,2
180895C0100,18,2,1,7,3,38,9,0,9,10,2,10,0,13,5,10,0,6,9,18,7,21,6,0,6,34,6,9,2,0,0,1
180635C0100,18,4,1,16,2,32,13,0,13,17,1,13,0,12,10,16,1,6,15,34,16,26,8,0,12,34,5,2,0,0,1,2
180962B0100,18,2,2,12,0,36,12,0,18,11,4,6,0,11,11,15,1,12,9,39,14,26,4,2,11,30,8,12,0,0,4,4
180318B0100,18,6,0,8,2,23,16,0,11,19,0,9,0,13,9,10,0,9,13,31,9,20,3,0,6,32,8,8,0,1,0,2
180836C0100,18,6,0,13,1,26,13,0,14,14,0,7,0,12,11,13,2,3,10,22,13,23,4,0,5,22,3,5,0,0,1,0
180485C0100,18,6,0,5,0,24,8,0,12,17,3,3,1,4,6,10,0,4,12,15,8,22,6,0,6,19,7,3,0,0,1,1
180291E0100,18,8,0,3,0,6,6,0,2,1,0,2,1,7,2,1,0,6,6,15,1,5,0,0,3,7,5,1,0,0,1,0
180399B0100,18,3,0,8,0,20,5,1,13,7,0,10,1,8,7,10,0,7,17,23,12,21,8,0,5,18,5,7,0,0,0,1
180205B0100,18,6,0,3,0,14,7,0,6,5,1,1,1,4,4,6,0,3,7,8,4,13,2,0,6,10,4,1,0,0,0,0
180116B0100,18,7,0,16,0,37,9,0,16,13,1,11,1,15,20,21,1,14,17,38,6,32,9,1,8,48,11,7,1,0,2,1
180215B0100,18,3,0,12,1,29,12,0,24,15,3,12,1,16,13,10,0,7,13,37,8,33,10,0,11,39,10,5,0,0,1,4
180275E0100,18,6,0,7,0,18,4,0,9,5,1,4,0,5,9,4,0,6,10,23,6,18,3,0,2,21,6,6,0,0,0,1
180725B0100,18,4,1,12,1,35,15,2,18,18,3,12,0,19,7,17,0,10,20,43,10,37,10,0,10,43,9,10,0,0,2,2
180174B0100,18,7,0,5,0,7,1,0,2,4,1,2,0,3,3,1,0,1,4,9,5,6,4,0,1,6,2,0,1,0,0,0
180273E0100,18,8,0,15,2,26,9,0,10,10,0,6,0,13,18,13,1,4,14,32,12,24,3,0,8,26,9,2,2,0,2,0
180830B0100,18,8,0,12,1,29,11,0,13,11,1,6,1,11,8,17,0,4,13,24,4,18,9,0,6,38,7,12,0,0,1,1
180249C0100,18,9,0,15,0,39,12,0,14,10,1,7,0,14,9,8,0,5,16,26,8,20,14,0,8,35,5,3,0,0,1,1
180119C0500,18,3,1,14,4,47,10,0,17,16,2,8,1,11,16,13,0,10,17,36,11,24,7,0,10,28,7,6,0,0,0,2
180267E0300,18,6,1,8,1,18,10,0,2,6,3,4,0,6,5,13,0,1,7,18,6,9,6,0,2,23,5,9,1,0,1,1
180806C0100,18,2,2,11,1,27,10,0,11,24,2,4,1,11,12,10,1,9,16,21,6,27,5,1,9,34,11,5,1,0,3,2
180683B0100,18,2,1,5,0,9,3,0,7,6,0,5,0,6,4,5,0,2,6,10,3,9,6,0,5,13,4,0,0,0,0,0
180114C0200,18,5,0,11,1,50,11,0,24,15,0,15,0,21,9,12,0,10,11,32,19,24,10,0,13,39,12,13,0,0,0,0
180161C0100,18,5,0,11,0,27,16,1,13,4,0,4,0,17,16,7,0,10,15,27,16,24,7,0,11,31,6,8,1,0,1,0
180602C0100,18,4,0,17,2,33,13,0,20,21,1,14,1,14,5,14,2,10,19,25,13,36,9,1,7,41,12,6,0,0,2,1
180906B0100,18,2,0,12,0,23,4,0,10,8,0,14,0,6,11,3,0,7,16,16,5,23,4,0,5,24,7,4,1,0,1,0
180338B0100,18,8,0,16,0,30,10,0,15,12,1,10,0,3,7,18,0,6,6,27,7,24,4,0,7,30,5,6,0,0,0,1
180183C0100,18,7,0,11,1,27,6,0,12,18,1,9,0,7,11,10,1,9,7,19,12,26,4,0,10,20,7,4,0,0,0,2
180844B0100,18,5,1,17,1,35,11,1,16,20,1,13,4,13,7,10,1,16,20,38,6,34,12,0,8,37,10,9,0,0,2,2
180858C0100,18,5,1,14,1,42,7,0,20,27,2,11,2,8,8,15,1,7,19,47,16,22,8,0,19,46,10,12,0,0,2,1
180829B0100,18,1,0,10,0,26,5,0,10,7,1,7,0,10,9,9,0,2,11,14,2,9,4,0,2,20,4,4,0,0,0,1
180168C0100,18,3,1,11,5,39,13,0,19,16,1,11,1,13,12,9,2,4,9,23,20,41,7,0,10,36,6,7,0,0,1,0
180254C0100,18,7,0,5,1,23,6,0,15,10,0,7,3,10,6,14,1,3,11,30,11,15,6,0,6,15,8,8,1,0,1,2
180873E0100,18,7,0,4,0,5,2,0,4,3,0,0,1,1,3,3,0,1,6,6,2,5,2,0,2,9,3,1,0,0,0,0
180780B0100,18,2,1,17,0,40,13,0,17,10,3,4,2,14,13,13,1,13,15,44,9,28,10,0,15,38,8,8,0,0,1,0
180301C0100,18,6,1,15,1,28,10,0,8,16,1,8,0,7,17,11,0,4,10,33,10,26,10,0,10,34,6,7,0,0,1,0
180112C0300,18,7,0,12,3,37,8,0,18,22,2,11,2,10,12,16,4,9,17,29,13,36,9,0,8,29,9,8,0,0,0,2
180890B0100,18,2,1,13,0,24,15,0,17,15,0,10,2,18,9,9,0,3,13,13,12,30,6,0,7,21,5,8,1,0,0,2
180115C0500,18,3,4,17,2,43,10,0,13,18,3,12,1,10,12,11,0,6,15,48,15,33,10,0,13,57,8,10,0,0,2,4
180889B0100,18,2,2,10,0,26,11,1,11,8,0,12,0,9,9,12,0,3,16,37,8,26,10,0,10,21,8,4,0,0,3,1
180644B0100,18,4,0,13,2,40,11,0,17,14,4,13,1,13,17,24,2,5,17,41,13,28,9,0,6,53,4,7,0,0,1,4
180618B0100,18,4,0,7,1,24,11,0,17,17,0,11,0,20,14,15,0,3,7,29,7,30,3,1,5,34,6,6,0,0,3,2
180681B0100,18,4,1,12,2,41,17,0,17,17,2,13,2,15,13,19,0,7,15,48,19,38,12,0,8,49,14,8,0,0,2,2
180232B0100,18,7,0,9,1,12,3,0,5,6,0,10,0,5,5,6,0,4,8,12,3,13,4,0,4,15,2,2,1,0,1,1
180495B0100,18,6,0,14,0,31,4,0,18,22,1,18,0,14,10,15,1,8,15,40,6,15,8,0,7,43,11,5,0,0,3,1
180800B0100,18,4,0,16,4,28,21,0,10,10,0,8,0,8,14,11,0,6,19,29,9,30,11,0,3,32,3,5,0,0,1,2
180924B0100,18,4,0,6,0,16,9,1,6,12,0,2,0,6,10,9,1,10,12,24,5,20,4,1,9,17,5,4,0,0,2,0
180643C0100,18,4,1,10,2,38,8,0,11,10,0,13,0,15,7,7,1,2,15,20,9,24,9,0,6,19,6,7,1,0,0,1
180799E0500,18,2,3,12,1,36,6,0,10,20,3,3,0,12,9,11,0,6,12,27,9,24,4,0,6,26,12,4,0,0,0,1
180840B0100,18,8,1,17,0,28,15,0,17,9,4,10,0,14,10,18,0,6,18,27,14,23,7,0,11,39,6,13,1,0,1,0
180108C0100,18,5,0,9,0,23,14,0,10,17,1,7,2,11,12,5,0,10,11,25,19,24,6,0,6,25,9,3,0,0,1,2
180374B0100,18,6,0,3,0,14,4,0,3,3,0,4,1,3,5,2,0,1,3,6,3,7,6,0,2,10,4,0,0,0,1,0
180754E0201,18,4,0,4,0,34,6,0,12,6,0,11,2,9,8,6,0,4,6,21,5,19,9,0,7,29,5,6,0,0,0,0
180335B0100,18,6,0,5,0,20,2,0,6,6,0,3,0,6,4,1,1,0,4,17,8,7,3,0,1,12,1,5,0,0,0,1
180853B0100,18,3,2,13,1,33,18,0,13,16,0,16,0,12,17,16,0,4,24,37,15,26,9,0,11,43,9,6,0,0,3,3
180807C0100,18,4,0,9,2,32,15,0,11,13,1,14,2,20,8,5,3,8,16,28,8,22,8,0,3,24,11,5,0,0,1,2
180709S0100,18,4,1,29,0,72,26,0,25,29,3,19,3,24,19,19,1,16,22,73,28,51,15,0,19,64,12,10,0,0,4,7
180089B0100,18,7,0,9,0,22,16,0,8,12,0,3,2,8,10,9,0,6,8,15,6,14,5,0,3,15,9,3,0,0,1,2
180855C0100,18,5,1,12,2,34,7,0,12,15,2,12,0,9,16,10,1,11,14,31,12,32,5,0,9,37,10,6,0,0,0,1
180115C0600,18,3,0,10,2,46,9,0,21,16,0,14,1,13,15,16,1,9,24,39,13,33,10,0,5,49,6,15,1,0,0,1
180105C0200,18,3,2,15,0,33,9,0,9,18,3,11,2,11,11,12,0,7,12,30,10,20,10,0,11,36,8,5,0,0,1,1
180438C0100,18,1,0,6,1,26,4,0,8,16,1,7,0,7,13,5,1,6,11,23,11,14,5,0,6,28,4,5,0,0,1,1
180815C0100,18,6,0,17,0,29,7,1,7,9,0,8,3,13,10,12,0,2,8,24,5,22,4,1,9,22,4,3,0,0,0,2
180580B0100,18,6,1,6,1,31,6,0,9,9,5,8,0,13,6,11,1,11,12,14,10,11,4,0,6,23,3,2,0,0,0,0
180569B0100,18,6,1,4,2,16,7,0,9,6,2,4,1,7,10,7,0,2,7,13,9,14,4,0,7,13,6,7,0,0,1,1
180799E0201,18,2,1,19,3,33,10,0,17,10,2,24,0,12,7,11,0,14,14,37,11,21,7,1,16,29,13,4,0,0,1,0
180891C0100,18,4,0,8,2,24,12,0,10,9,0,9,0,7,7,7,0,8,15,23,8,23,4,1,5,22,7,8,0,0,1,0
180978C0200,18,9,0,22,2,38,16,1,25,12,0,12,2,15,8,15,1,9,13,45,14,32,4,0,4,33,8,5,0,0,0,4
180263B0100,18,6,0,1,0,10,2,0,7,2,3,5,0,3,2,3,1,4,1,6,2,7,3,0,3,9,1,1,0,0,0,0
180522B0100,18,1,2,19,2,42,14,0,18,17,2,9,0,14,10,11,2,8,19,36,12,49,8,0,6,47,7,8,0,0,1,0
180192C0100,18,7,0,15,1,36,12,0,28,17,0,13,1,21,18,20,1,6,20,32,10,32,11,0,12,38,4,3,0,0,1,3
180859B0100,18,5,0,12,1,33,17,0,10,19,3,10,0,7,12,14,0,9,18,36,7,26,7,1,10,37,7,10,1,0,2,0
180811B0100,18,6,1,16,2,20,11,0,17,19,0,7,1,7,11,17,1,7,14,25,11,23,7,1,11,34,5,7,2,0,1,2
180242B0100,18,5,3,18,1,24,4,0,8,5,0,11,1,8,9,12,1,6,17,19,12,19,7,0,8,25,7,5,0,0,1,0
180986C0300,18,4,0,15,0,36,19,0,8,14,1,15,1,9,9,12,1,7,21,33,9,31,8,1,8,28,7,11,0,1,1,0
180749C0300,18,4,0,17,0,36,9,0,11,15,0,9,1,12,16,7,0,1,18,34,12,27,13,0,11,30,6,6,1,0,2,1
180764C0200,18,4,2,22,3,39,12,1,14,15,3,12,1,21,9,9,0,9,18,33,15,40,5,0,10,55,9,14,0,0,0,1
180012B0100,18,1,0,12,2,22,11,0,16,18,3,12,0,14,13,13,1,6,11,41,4,32,4,0,5,30,9,7,0,0,0,1
180332B0100,18,6,0,4,0,11,4,0,3,7,0,2,1,3,3,5,0,1,4,11,2,10,3,0,1,9,1,0,0,0,0,0
180290B0100,18,8,1,14,2,37,10,0,15,20,4,7,1,18,22,19,0,8,17,38,18,32,9,1,13,39,8,11,0,0,3,3
180804E0101,18,4,0,11,1,27,11,1,13,15,2,14,0,16,9,9,2,13,12,32,8,20,3,0,11,28,6,4,0,0,3,2
180864C0100,18,7,2,11,0,45,12,0,23,13,2,16,3,20,10,19,0,8,20,28,17,39,8,0,15,38,11,11,2,0,0,1
180098C0300,18,9,0,18,5,45,17,0,15,14,0,14,1,17,11,17,0,8,18,29,14,37,10,1,10,35,7,5,1,0,3,3
180267B0100,18,6,0,11,1,37,13,0,23,17,1,16,2,16,16,15,1,6,21,34,10,29,10,0,11,38,10,6,0,0,0,0
180360B0100,18,8,2,15,1,31,15,0,16,20,3,11,0,16,14,17,3,7,18,30,13,37,13,0,4,36,9,13,0,0,6,2
180640C0100,18,2,1,10,0,30,12,0,12,19,1,9,0,12,6,10,1,5,10,25,14,26,3,1,4,27,7,4,1,0,1,0
180723C0100,18,4,3,15,2,24,7,0,19,11,3,17,0,19,9,16,0,8,9,43,7,26,3,0,9,44,10,5,0,0,1,0
180698B0100,18,4,0,6,0,24,11,0,10,8,0,5,3,12,12,10,0,3,16,23,6,22,8,0,5,21,2,8,0,0,0,0
180104C0100,18,5,1,10,1,25,12,0,15,21,0,10,1,8,7,9,1,8,11,30,14,35,4,0,10,27,10,6,0,0,1,1
180765C0100,18,4,0,18,2,49,14,0,19,11,2,12,0,11,13,18,0,12,17,27,12,35,7,0,11,41,9,8,0,0,3,1
180735C0100,18,4,2,10,2,26,0,1,9,8,1,7,0,9,8,7,0,6,9,20,9,17,4,0,4,19,6,2,1,0,0,1
180216B0100,18,5,0,16,1,37,8,0,10,11,2,10,0,19,12,14,2,5,18,33,9,26,13,1,16,26,5,8,2,0,1,1
180986C0100,18,4,2,13,2,34,10,0,12,11,1,8,0,12,6,13,1,7,14,26,5,25,8,0,11,31,7,4,0,0,1,3
180047B0100,18,6,1,9,0,43,13,1,6,12,3,11,2,16,6,19,1,13,15,28,12,14,7,1,13,33,7,3,0,0,1,1
180329B0100,18,1,1,7,1,25,3,0,6,2,4,9,0,11,8,8,0,11,10,25,4,14,4,0,3,24,6,3,0,0,0,1
180248C0100,18,9,0,18,1,45,12,0,10,18,1,15,0,24,7,12,2,11,23,34,9,36,5,0,17,31,9,10,0,0,0,2
180197B0100,18,8,0,21,2,24,7,0,14,14,5,14,2,5,7,12,1,11,13,25,10,26,8,0,10,32,9,9,0,0,1,2
180896C0100,18,4,1,16,1,39,14,0,13,12,1,15,1,15,10,15,0,8,11,38,7,21,10,0,6,32,10,10,0,0,1,1
180224B0100,18,3,1,9,2,28,7,0,9,18,1,11,0,18,11,9,0,5,8,29,16,19,7,0,11,27,12,3,0,0,2,0
180213B0100,18,6,0,10,0,11,2,0,7,6,0,7,1,4,8,7,0,3,8,11,7,8,4,0,7,11,4,4,0,0,1,0
180826B0100,18,6,1,10,0,23,9,0,9,11,2,10,0,10,10,7,0,6,9,23,11,12,3,0,10,22,6,4,0,0,0,1
180098B0100,18,9,1,17,2,35,17,0,17,22,1,10,0,11,10,12,2,9,21,29,11,37,11,0,10,34,7,6,0,0,1,2
180118C0200,18,3,0,19,3,46,14,0,13,20,1,11,2,12,14,13,0,12,22,38,10,35,14,0,10,38,5,3,0,0,1,0
180661B0100,18,4,1,15,4,30,5,1,10,8,1,6,0,10,12,11,2,8,12,20,13,29,12,0,7,33,15,3,0,0,2,0
180674B0100,18,2,0,8,3,29,6,0,10,9,0,8,2,5,9,14,0,9,7,25,12,14,11,0,2,29,8,8,0,0,0,0
180961B0100,18,2,1,7,0,30,12,1,12,17,2,8,1,8,8,14,1,11,14,32,14,25,8,0,7,22,5,5,0,0,1,1
180839B0100,18,6,0,7,2,21,11,0,7,14,2,6,1,10,10,11,1,2,9,15,4,13,6,0,4,23,6,6,0,0,2,0
