CLAVE_CASILLA,ID_ESTADO,estrato,PAN,PRD,PAN_PRD,PRI,PVEM,PT,MORENA,PANAL,PT_MORENA_PANAL,PT_MORENA,PT_PANAL,MORENA_PANAL,MC,PES,RSP,FPM,CNR,NULOS
080304B0100,8,7,6,11,30,0,0,4,4,52,16,11,8,12,30,8,3,8,2,22
080225B0100,8,18,8,16,64,1,1,7,5,80,40,14,15,25,46,18,4,4,1,19
081694B0100,8,13,6,12,57,0,0,5,1,71,28,24,8,19,47,20,8,9,1,33
080575C0200,8,15,7,10,55,0,1,7,3,75,28,23,16,19,35,18,4,4,3,28
082931C0100,8,11,5,17,44,0,1,7,3,50,31,20,14,24,38,20,8,7,0,17
083086B0100,8,2,2,1,16,0,1,3,0,20,14,5,5,7,18,3,2,3,0,10
080239B0100,8,2,9,12,28,0,0,7,0,57,28,17,10,18,34,16,3,6,0,19
080585B0100,8,8,7,9,55,0,2,7,3,59,20,12,9,16,33,10,9,5,3,20
082133B0100,8,13,6,16,36,0,4,10,3,47,21,15,14,16,32,14,6,2,5,30
081723B0100,8,4,0,15,42,0,0,9,0,64,25,14,10,21,24,17,4,9,4,21
080280C0100,8,7,5,20,43,0,1,5,3,51,24,9,8,20,40,10,6,2,1,22
083218C0200,8,14,8,11,60,0,1,5,4,60,35,19,7,19,41,23,8,5,2,27
081422B0100,8,5,3,5,15,0,1,8,4,34,13,16,2,13,21,8,4,4,1,16
081514B0100,8,12,6,19,51,1,0,6,3,54,32,18,12,22,46,18,4,11,1,34
081185B0100,8,16,8,13,33,1,1,6,2,52,24,19,15,20,38,26,3,4,2,18
082683B0100,8,9,5,12,39,0,1,7,3,55,23,12,4,12,12,12,1,1,2,13
080944C0300,8,14,4,11,38,0,1,7,5,68,38,22,9,20,41,15,10,11,1,32
081382B0100,8,11,4,12,55,0,0,6,3,55,26,23,9,23,21,15,2,7,3,24
081939C0100,8,11,3,16,61,1,4,4,5,74,31,26,3,20,33,20,6,3,2,27
