CLAVE_CASILLA,ID_ESTADO,estrato,PAN,PRI,PRD,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,PVEM,PT,MC,MORENA_PANAL,PES,RSP,FPM,CI1,CNR,NULOS
'060121C0100',6,1,28,25,5,21,0,14,18,27,44,54,3,18,3,3,21,1,14
'060122B0100',6,1,18,22,8,12,2,18,9,17,39,43,3,12,0,3,33,0,10
'060122C0100',6,1,16,33,4,16,3,12,15,14,37,27,3,17,1,2,29,0,8
'060123B0100',6,3,29,39,8,18,2,15,14,33,56,80,3,23,2,6,36,0,12
'060123C0100',6,3,29,30,6,19,4,23,17,27,51,60,7,12,3,3,34,0,14
'060124B0100',6,3,32,34,6,14,6,18,12,24,25,45,3,20,4,4,27,0,6
'060124C0100',6,3,24,32,8,13,3,20,13,29,44,52,2,14,3,4,33,0,9
'060124C0200',6,3,23,37,7,16,3,17,12,30,33,46,6,19,2,5,25,0,13
'060125B0100',6,4,24,35,2,17,6,23,7,15,45,52,1,17,1,2,27,0,9
'060125C0100',6,4,22,27,7,16,4,12,9,17,57,61,4,21,1,3,32,1,14
'060125E0100',6,4,8,12,1,3,0,8,2,10,14,15,1,2,1,1,15,0,4
'060126B0100',6,1,27,35,12,22,2,16,8,17,50,45,3,25,0,1,26,0,10
'060126C0100',6,1,22,26,4,19,5,10,13,23,47,39,3,17,2,5,32,1,10
'060126C0200',6,1,28,26,2,11,5,11,16,23,39,32,4,14,3,1,38,0,10
'060127B0100',6,1,28,43,8,17,3,20,16,15,54,42,5,16,0,2,26,0,10
'060127C0100',6,1,23,45,7,17,2,16,15,21,48,53,3,15,1,2,33,0,18
'060128B0100',6,1,19,21,1,17,0,12,7,16,25,31,2,15,2,2,23,1,10
'060128C0100',6,1,20,22,8,13,0,13,10,13,33,31,1,13,1,3,20,0,6
'060129B0100',6,4,17,28,10,13,2,16,9,18,48,31,0,13,2,3,29,0,6
'060129C0100',6,4,18,23,9,9,5,11,14,17,28,36,3,16,0,2,29,1,4
'060130B0100',6,3,20,16,3,13,3,16,10,15,39,36,2,12,4,2,30,0,11
'060130C0100',6,3,17,25,2,15,2,8,11,9,37,46,2,15,2,3,33,0,11
'060131B0100',6,4,24,32,6,14,5,9,8,15,24,24,1,14,1,2,14,0,7
'060131C0100',6,4,19,30,4,10,2,13,7,16,33,37,4,27,1,0,30,0,13
'060131E0100',6,4,21,20,3,16,3,14,10,9,37,43,3,24,0,3,27,0,9
'060132B0100',6,3,24,25,4,12,4,12,10,20,33,44,1,21,3,0,33,0,10
'060132C0100',6,3,23,32,8,19,1,11,16,22,38,42,4,20,0,3,30,0,10
'060132C0200',6,3,19,23,9,12,3,19,5,18,37,43,6,18,1,2,33,0,11
'060133B0100',6,4,29,30,8,24,5,18,23,25,54,49,4,30,5,4,26,0,18
'060133E0100',6,4,7,6,0,4,0,3,2,9,9,9,1,2,0,2,8,0,2
'060134B0100',6,4,33,28,3,16,8,13,15,26,39,40,3,24,4,3,22,1,9
'060134C0100',6,4,34,37,5,18,3,19,12,25,38,42,1,20,4,1,34,0,7
'060134C0200',6,4,26,26,7,17,2,16,11,21,56,44,7,15,2,3,27,0,13
'060135B0100',6,3,13,26,8,11,4,14,7,18,46,53,0,23,1,2,32,1,11
'060135C0100',6,3,20,27,3,17,3,12,10,17,45,37,4,14,1,0,34,1,8
'060135E0100',6,3,20,38,5,10,2,17,17,17,54,36,4,17,0,2,26,1,5
'060136B0100',6,4,14,20,1,14,6,12,14,22,25,35,2,9,0,3,19,0,6
'060137B0100',6,4,13,23,5,23,1,15,8,27,46,37,3,18,0,3,31,1,14
'060137C0100',6,4,27,23,9,14,2,13,10,23,40,49,2,17,4,4,37,0,15
'060138B0100',6,4,20,45,9,15,1,18,10,32,49,71,3,16,3,5,38,0,16
'060138C0100',6,4,22,37,8,27,7,13,13,24,46,49,4,27,1,2,40,0,14
'060138C0200',6,4,26,37,11,15,4,18,18,27,52,48,2,18,1,1,38,0,12
'060138C0300',6,4,22,31,9,10,3,18,16,22,34,59,3,27,5,9,36,0,7
'060138C0400',6,4,22,37,7,16,5,22,14,25,62,67,7,19,2,2,22,0,15
'060138C0500',6,4,34,37,9,19,3,23,22,27,43,52,5,24,5,1,24,0,11
'060138C0600',6,4,43,35,7,26,6,16,15,18,50,50,3,19,5,5,36,0,4
'060138E0100',6,4,24,34,10,18,3,19,8,26,46,54,4,16,2,2,32,0,8
'060138E0101',6,4,26,29,14,24,4,15,15,17,39,48,5,18,1,3,28,0,7
'060138E0102',6,4,37,20,3,21,4,13,11,25,52,59,2,14,1,1,42,0,16
'060138E0103',6,4,29,35,3,13,1,25,15,22,43,48,2,27,1,2,28,0,26
'060139B0100',6,3,34,39,8,22,5,18,19,22,65,53,4,24,1,5,38,0,14
'060139C0100',6,3,35,38,10,20,4,15,14,31,50,59,6,25,1,1,31,1,12
'060139C0200',6,3,25,35,9,21,5,23,6,32,51,58,1,28,2,1,37,0,14
'060139C0300',6,3,31,47,6,24,2,22,15,19,62,53,4,26,1,3,29,0,15
'060139C0400',6,3,20,39,9,27,7,24,14,26,54,47,6,18,1,5,36,0,20
'060139C0500',6,3,27,38,9,17,6,17,17,35,51,73,3,21,4,0,31,0,18
'060139C0600',6,3,24,41,8,15,1,18,12,31,54,60,4,29,2,3,30,0,17
'060139C0700',6,3,36,33,6,18,7,17,11,26,58,59,4,24,1,3,44,0,15
'060139C0800',6,3,28,28,6,22,1,18,12,23,56,62,5,26,2,3,49,0,14
'060139E0100',6,3,22,39,5,18,6,15,7,21,51,47,1,20,2,3,36,1,12
'060139E0101',6,3,32,28,8,17,0,22,16,17,50,44,6,15,3,3,23,0,12
'060139E0102',6,3,22,39,6,19,4,22,13,21,49,45,0,22,0,4,27,0,9
'060139E0103',6,3,29,42,5,10,2,24,16,31,39,45,1,33,2,1,29,0,13
'060139E0104',6,3,31,25,5,16,4,23,11,20,47,58,6,25,1,3,43,0,12
'060140B0100',6,3,27,38,7,19,3,14,17,21,53,62,3,14,3,1,39,0,17
'060140C0100',6,3,25,34,3,12,3,25,17,20,55,53,4,18,6,4,39,0,8
'060140C0200',6,3,27,35,6,23,6,27,19,15,50,60,1,31,2,3,29,0,11
'060140C0300',6,3,30,39,7,23,4,16,12,19,46,50,3,19,0,5,30,0,9
'060140C0400',6,3,45,36,3,19,4,15,18,25,47,55,3,23,0,6,34,0,15
'060140C0500',6,3,32,36,7,14,3,18,11,19,46,54,2,15,0,3,40,0,13
'060140C0600',6,3,32,37,8,9,9,28,8,19,62,52,4,19,2,2,30,0,10
'060141B0100',6,3,36,27,7,14,1,16,8,15,49,57,2,23,1,5,29,0,13
'060141C0100',6,3,22,33,5,19,6,16,11,32,45,50,5,28,3,2,33,0,14
'060142B0100',6,1,19,27,4,7,4,8,6,15,42,36,6,6,2,1,12,0,9
'060142C0100',6,1,17,17,8,11,5,8,7,12,38,40,0,12,1,3,23,0,6
'060143B0100',6,3,22,31,3,19,5,16,17,29,52,51,3,22,0,3,29,0,14
'060143C0100',6,3,24,27,2,18,3,26,9,18,52,58,3,24,0,5,30,0,13
'060144B0100',6,3,32,28,8,20,2,22,16,24,28,48,2,29,1,1,25,0,10
'060144C0100',6,3,29,22,16,11,3,21,8,23,50,49,2,32,1,5,28,0,12
'060144C0200',6,3,19,27,6,17,4,19,13,21,55,30,3,16,4,3,33,0,10
'060145B0100',6,3,27,42,4,12,5,23,19,21,44,57,2,17,5,5,37,0,16
'060145C0100',6,3,43,35,7,23,4,11,23,21,37,61,2,25,0,4,38,0,9
'060145C0200',6,3,30,44,11,18,5,31,18,33,57,50,3,17,1,5,34,1,11
'060145C0300',6,3,28,27,13,11,4,9,24,20,51,55,1,28,0,8,41,0,10
'060145C0400',6,3,28,38,6,13,3,20,10,24,55,59,2,20,3,5,36,0,7
'060145C0500',6,3,23,43,10,18,5,22,9,21,63,52,2,17,2,2,44,0,8
'060145C0600',6,3,23,31,3,18,3,13,9,32,45,54,3,19,3,1,44,0,16
'060145E0100',6,3,33,40,7,15,3,10,22,22,51,55,5,14,1,6,48,0,11
'060145E0101',6,3,31,37,7,24,4,21,10,24,66,54,5,13,3,2,33,0,21
'060145E0102',6,3,33,32,5,19,2,22,14,30,67,53,3,19,6,3,25,0,19
'060145E0103',6,3,29,36,10,28,1,17,18,21,49,55,4,22,1,4,44,0,15
'060145E0104',6,3,40,29,9,17,5,14,11,27,43,76,1,22,1,4,32,0,14
'060145E0105',6,3,27,33,8,19,4,19,12,28,51,62,4,17,2,4,37,2,10
'060145E0106',6,3,24,31,5,23,3,21,13,22,55,69,3,14,1,5,44,0,14
'060145E0107',6,3,29,30,14,16,5,29,10,20,49,51,6,24,3,2,30,0,14
'060146B0100',6,1,33,28,5,18,4,20,10,20,40,54,3,28,3,2,32,0,17
'060146C0100',6,1,31,32,5,16,4,19,11,28,53,42,2,22,2,5,37,0,12
'060146C0200',6,1,24,30,6,15,2,14,12,22,57,54,2,19,1,1,28,0,17
'060146C0300',6,1,28,24,7,19,6,20,12,27,51,54,0,22,3,2,37,1,11
'060146C0400',6,1,32,38,10,19,1,13,11,26,56,54,2,23,2,3,38,0,8
'060146C0500',6,1,20,26,5,21,3,23,15,28,45,58,5,10,2,4,31,0,13
'060146C0600',6,1,22,29,8,22,2,19,13,19,58,38,3,29,3,5,35,0,8
'060146E0100',6,1,44,27,7,23,4,15,11,19,48,58,0,26,0,4,30,0,15
'060146E0101',6,1,27,37,9,19,1,16,8,20,59,41,1,20,2,2,32,0,12
'060146E0102',6,1,29,43,9,16,6,23,12,31,42,64,3,13,1,1,39,1,13
'060146E0103',6,1,28,28,5,29,4,18,21,19,55,52,2,19,2,5,38,1,11
'060146E0104',6,1,23,32,11,19,4,18,19,29,54,58,1,16,0,4,33,0,18
'060147B0100',6,3,32,31,6,19,4,19,16,33,48,68,6,18,2,2,39,0,16
'060147C0100',6,3,27,32,5,15,3,23,16,27,63,56,5,22,4,3,36,0,11
'060147C0200',6,3,26,35,7,17,4,15,14,25,58,48,2,29,1,1,31,0,14
'060148B0100',6,3,22,25,5,15,3,11,11,16,41,47,1,18,1,3,29,0,13
'060148C0100',6,3,24,30,4,20,6,22,12,16,47,30,3,15,2,1,22,0,8
'060148C0200',6,3,13,23,5,17,2,16,14,8,46,48,3,25,0,2,22,0,6
'060148S0100',6,3,40,65,12,37,8,25,25,37,91,106,3,42,1,6,63,0,26
'060149B0100',6,3,24,25,6,16,4,11,9,18,35,45,3,18,2,0,21,0,8
'060149C0100',6,3,15,26,6,5,2,14,13,20,36,37,3,22,4,5,24,0,11
'060149C0200',6,3,29,25,5,13,3,18,13,14,49,40,3,13,2,3,23,1,13
'060150B0100',6,1,24,23,6,14,4,19,14,23,44,61,2,21,4,1,30,1,11
'060150C0100',6,1,25,26,6,11,2,18,19,11,43,43,5,22,2,5,25,0,11
'060151B0100',6,1,15,21,3,13,6,11,8,19,36,41,2,15,0,5,24,0,9
'060151C0100',6,1,16,19,5,10,2,15,16,19,38,36,0,9,3,4,20,0,5
'060152B0100',6,1,22,39,4,13,3,18,18,37,55,61,4,31,0,2,40,1,12
'060152C0100',6,1,29,38,8,21,2,16,8,19,44,54,2,29,3,4,48,0,13
'060152E0100',6,1,22,39,11,17,1,21,12,29,41,61,6,22,4,4,42,0,18
'060152E0101',6,1,29,34,8,14,3,14,19,23,61,59,4,25,3,6,32,0,15
'060152E0102',6,1,31,32,10,16,9,20,10,29,63,52,2,22,1,6,35,0,18
'060152E0103',6,1,30,34,8,16,7,21,17,29,42,69,4,19,2,4,33,0,16
'060152E0104',6,1,28,29,7,24,7,14,18,27,48,58,3,23,3,1,39,0,14
'060152E0105',6,1,32,36,9,19,3,24,11,30,63,65,0,19,2,7,53,0,13
'060153B0100',6,4,26,32,7,20,3,14,6,20,42,46,4,21,0,1,26,0,11
'060153C0100',6,4,24,31,4,9,6,18,11,19,39,53,3,20,2,4,26,0,17
'060154B0100',6,1,17,24,4,13,4,15,15,15,38,39,3,17,1,3,18,0,17
'060154C0100',6,1,22,18,3,15,3,17,8,17,43,57,4,15,2,2,20,0,7
'060155B0100',6,3,27,51,9,8,6,20,15,18,61,63,8,19,5,4,38,1,18
'060155C0100',6,3,19,35,7,16,4,27,9,29,53,50,3,15,2,1,31,0,18
'060156B0100',6,4,11,14,2,16,3,13,5,19,34,37,2,19,1,2,26,0,8
'060156C0100',6,4,26,21,5,13,7,12,7,11,38,35,1,12,3,1,26,0,4
'060157B0100',6,1,11,32,8,16,1,13,12,14,52,35,1,16,1,3,19,0,6
'060157C0100',6,1,16,21,3,10,4,14,8,13,34,41,1,15,3,3,26,0,17
'060158B0100',6,1,27,40,7,17,7,21,16,22,53,47,5,23,1,3,31,0,12
'060159B0100',6,3,37,33,3,17,2,14,16,22,53,58,5,17,0,0,34,0,10
'060159C0100',6,3,23,31,10,13,4,33,17,17,51,62,2,24,6,2,32,0,12
'060159C0200',6,3,36,37,2,17,8,14,13,29,53,59,2,22,2,1,39,1,16
'060160B0100',6,3,30,36,9,20,3,27,15,25,65,50,8,19,4,4,43,0,14
'060160C0100',6,3,19,41,10,19,2,18,13,34,62,63,4,20,0,1,37,0,14
'060160C0200',6,3,38,35,13,16,5,23,10,26,60,47,4,22,2,2,45,0,9
'060160C0300',6,3,40,47,14,22,1,13,22,25,52,48,3,35,4,4,35,3,14
'060161B0100',6,3,19,46,4,14,5,22,14,29,51,54,3,26,3,0,34,0,14
'060161C0100',6,3,28,43,11,22,5,22,19,20,57,49,3,20,2,5,42,0,10
'060161C0200',6,3,36,38,5,27,1,23,12,24,39,58,3,22,0,2,35,0,10
'060161C0300',6,3,29,34,5,17,4,11,19,30,57,52,3,21,5,5,30,1,14
'060161C0400',6,3,28,30,8,20,5,18,13,37,51,61,4,17,4,4,33,0,10
'060161C0500',6,3,32,32,14,23,5,26,11,27,56,64,2,18,0,4,32,0,9
'060162B0100',6,1,25,42,7,14,6,20,11,21,41,50,5,21,3,3,39,0,9
'060162C0100',6,1,26,28,7,16,4,23,17,26,45,59,3,16,1,2,35,0,5
'060162C0200',6,1,27,31,10,18,4,19,20,24,59,46,3,14,0,5,40,0,8
'060164B0100',6,1,19,35,3,11,3,9,9,27,55,36,5,9,3,4,29,0,10
'060164C0100',6,1,19,30,3,12,2,10,14,24,52,50,5,16,2,3,27,0,5
'060164C0200',6,1,31,26,3,15,4,14,6,23,45,43,2,14,0,3,29,0,14
'060165B0100',6,1,17,32,8,13,4,20,9,23,47,58,4,23,2,1,30,1,13
'060165C0100',6,1,34,37,1,22,5,11,9,21,45,46,4,11,2,3,34,0,10
'060166B0100',6,4,11,14,2,3,3,4,6,10,11,21,1,9,0,2,14,0,2
'060166E0100',6,4,6,8,2,2,1,5,2,4,11,10,1,3,1,0,8,0,4
'060167B0100',6,4,4,14,1,4,0,5,8,15,20,21,1,10,0,1,10,0,6
'060167E0100',6,4,4,6,2,5,1,4,3,6,19,20,5,7,0,1,9,0,3
'060167E0200',6,4,10,15,4,9,0,6,10,7,22,21,4,13,0,2,13,0,5
'060168B0100',6,4,19,27,5,18,1,13,8,21,35,39,2,13,2,1,30,0,12
'060169B0100',6,4,14,15,5,8,2,12,11,12,39,37,1,8,1,1,24,0,6
'060170B0100',6,6,21,34,8,19,2,19,14,24,58,47,1,20,4,1,45,0,15
'060170C0100',6,6,34,37,5,17,1,17,8,24,53,59,4,17,2,3,31,0,12
'060170C0200',6,6,20,31,3,12,4,22,14,17,48,67,3,25,0,1,39,0,15
'060171B0100',6,6,30,32,6,18,1,14,17,23,30,39,3,20,1,3,22,0,4
'060171C0100',6,6,16,33,6,18,0,13,8,19,41,50,5,18,1,1,29,0,7
'060171C0200',6,6,32,27,6,12,2,19,14,19,37,60,2,21,2,4,35,0,11
'060172B0100',6,5,17,26,5,9,3,11,7,14,37,36,2,20,0,2,22,0,9
'060172C0100',6,5,12,22,2,12,2,18,6,22,27,29,5,14,1,0,21,0,9
'060173B0100',6,6,27,23,2,16,5,12,9,22,44,50,0,15,4,5,31,0,10
'060173C0100',6,6,30,27,3,15,2,11,12,20,34,45,5,21,5,0,25,0,7
'060174B0100',6,6,20,26,3,19,0,10,13,22,48,34,0,17,1,1,24,0,7
'060174C0100',6,6,14,21,5,13,1,15,12,16,32,33,5,19,0,2,24,0,6
'060175B0100',6,2,23,34,2,18,3,13,8,23,45,47,1,17,2,6,29,0,12
'060176B0100',6,6,31,23,4,16,1,21,8,15,43,40,3,17,1,2,25,0,6
'060176C0100',6,6,18,24,6,13,1,18,9,16,30,44,2,22,3,3,19,0,12
'060177B0100',6,6,19,36,8,19,2,18,17,22,39,58,4,23,1,4,40,0,15
'060177C0100',6,6,25,37,7,15,6,15,17,24,55,39,6,29,2,1,38,0,10
'060178B0100',6,6,21,29,13,12,1,15,16,21,52,55,0,14,0,4,39,0,15
'060178C0100',6,6,23,28,6,17,5,15,10,27,64,46,4,23,3,3,34,0,11
'060179B0100',6,6,22,25,2,12,1,13,9,17,35,28,3,16,1,3,22,0,11
'060179C0100',6,6,23,27,7,12,2,14,7,18,37,32,1,15,0,2,18,0,11
'060180B0100',6,6,13,23,8,13,4,10,8,10,25,34,1,15,1,4,26,0,11
'060180C0100',6,6,14,15,2,18,3,6,3,14,37,32,1,12,1,0,18,0,9
'060181B0100',6,6,16,27,11,25,6,19,12,18,50,50,1,15,3,3,27,0,11
'060181C0100',6,6,14,35,8,18,2,21,9,15,48,64,4,12,2,3,31,0,14
'060182B0100',6,6,16,40,8,13,5,18,12,20,53,51,3,23,1,2,30,1,7
'060182C0100',6,6,30,24,4,18,1,16,12,25,47,45,5,22,3,2,32,1,16
'060183B0100',6,6,20,29,7,7,3,12,11,20,46,45,3,12,1,1,29,0,9
'060183C0100',6,6,22,30,5,18,5,10,13,19,33,32,7,18,2,2,36,0,12
'060184B0100',6,6,22,26,4,9,2,13,10,16,38,28,6,19,0,2,21,0,9
'060185B0100',6,5,18,19,1,14,3,12,6,18,46,27,0,19,1,2,31,0,12
'060185C0100',6,5,15,25,6,14,3,16,9,17,42,29,1,21,0,0,25,0,10
'060186B0100',6,6,17,32,3,18,5,12,10,27,32,43,2,20,0,3,24,2,10
'060186C0100',6,6,21,27,6,20,2,16,19,21,36,49,7,28,2,3,24,0,8
'060187B0100',6,6,27,27,4,10,2,21,13,22,40,32,3,28,3,5,32,0,14
'060187C0100',6,6,23,23,6,14,2,20,8,23,37,52,2,20,4,2,31,0,15
'060188B0100',6,6,17,27,8,13,4,17,10,19,36,47,3,20,1,0,34,0,8
'060188C0100',6,6,20,31,6,15,3,17,9,21,30,54,5,19,2,1,28,0,11
'060188C0200',6,6,33,22,6,15,5,17,5,26,42,53,3,11,2,2,20,0,11
'060189B0100',6,5,9,17,2,6,1,10,6,9,24,21,2,9,1,1,18,0,7
'060190B0100',6,6,23,21,3,9,2,16,6,18,29,39,3,10,2,1,30,0,6
'060191B0100',6,6,30,36,14,15,1,20,14,22,53,53,1,20,6,2,32,0,12
'060191C0100',6,6,35,32,11,14,5,20,10,25,45,54,2,25,2,4,25,0,13
'060192B0100',6,6,18,37,5,14,2,21,12,17,52,72,6,17,1,5,35,1,7
'060192C0100',6,6,29,33,12,14,6,15,14,27,50,54,6,20,2,5,29,0,7
'060193B0100',6,5,3,8,2,0,4,6,3,8,15,9,0,1,1,1,9,0,1
'060193E0100',6,5,6,4,3,1,2,3,2,8,15,8,1,10,1,1,7,0,3
'060194B0100',6,6,9,11,4,6,3,9,12,13,22,34,1,12,1,3,15,0,6
'060195B0100',6,6,16,32,7,24,1,14,10,17,43,40,2,17,0,3,28,1,10
'060196B0100',6,6,17,22,4,6,1,8,3,14,24,32,5,11,1,2,12,0,4
'060197B0100',6,5,9,12,4,9,0,5,3,12,8,22,3,15,1,4,17,0,3
'060199B0100',6,6,33,28,8,21,4,18,17,28,39,45,1,20,2,4,37,0,16
'060199E0100',6,6,10,11,0,9,1,2,2,1,11,9,0,3,3,0,6,0,5
'060200B0100',6,6,29,31,7,13,7,15,17,18,63,61,1,28,6,6,37,0,17
'060202B0100',6,5,22,36,4,18,4,14,10,21,42,51,3,18,5,1,41,0,15
'060202C0100',6,5,31,25,11,12,4,23,15,26,63,32,3,21,1,3,28,0,6
'060202C0200',6,5,23,27,14,13,0,22,10,28,51,46,4,21,2,3,35,0,17
'060202C0300',6,5,21,17,10,10,1,21,11,25,55,58,8,14,1,2,34,1,18
'060203B0100',6,5,20,19,3,15,1,15,10,20,41,27,1,8,0,0,22,0,8
'060203C0100',6,5,24,18,6,15,1,16,12,12,34,39,1,9,2,1,22,1,8
'060204B0100',6,5,24,36,5,19,3,19,19,24,37,75,2,24,1,0,25,0,9
'060204C0100',6,5,44,30,7,20,5,18,19,24,61,52,4,20,2,1,25,0,10
'060205B0100',6,5,24,28,3,14,5,9,13,13,40,33,1,8,1,1,19,0,8
'060205C0100',6,5,20,21,6,17,2,8,11,16,35,34,1,10,0,6,23,1,10
'060206B0100',6,5,18,27,5,18,3,14,12,11,50,53,1,16,2,5,26,0,10
'060206C0100',6,5,24,29,2,12,4,17,14,19,45,51,3,14,3,2,24,0,6
'060206C0200',6,5,18,30,2,10,6,17,13,23,37,51,2,19,0,0,29,0,8
'060207B0100',6,2,15,26,6,7,1,16,8,21,32,44,2,23,1,1,33,0,10
'060208B0100',6,2,19,20,4,14,3,13,9,17,22,24,2,22,1,3,21,0,7
'060208C0100',6,2,20,13,6,17,3,12,5,17,38,36,2,12,1,2,21,0,12
'060209B0100',6,6,25,16,7,12,3,21,18,11,44,45,3,23,2,3,29,1,9
'060209C0100',6,6,24,27,5,15,2,17,11,13,53,40,2,18,1,4,32,0,9
'060210B0100',6,6,22,33,10,13,3,13,13,16,40,50,1,16,4,1,30,0,10
'060210C0100',6,6,23,31,9,15,5,22,7,20,37,34,6,14,2,4,20,0,6
'060211B0100',6,6,26,45,10,14,3,15,18,28,52,64,3,18,3,5,27,0,16
'060211C0100',6,6,23,36,2,14,5,16,16,22,54,60,4,12,2,3,36,0,11
'060211C0200',6,6,39,32,3,24,3,13,14,24,55,50,4,28,3,2,32,0,9
'060212B0100',6,2,22,31,3,17,3,17,8,9,40,54,2,19,1,3,17,1,7
'060213B0100',6,2,25,21,8,17,6,27,10,15,46,59,5,23,2,2,26,0,14
'060213C0100',6,6,22,19,8,21,2,14,13,20,44,45,10,21,1,2,33,1,16
'060214B0100',6,6,17,26,7,15,2,13,9,17,48,43,2,16,1,3,26,0,8
'060214C0100',6,6,19,26,10,12,1,16,14,22,41,42,4,12,0,6,28,0,11
'060215B0100',6,6,27,41,9,14,2,20,8,27,41,53,4,15,0,1,27,0,8
'060215C0100',6,6,32,32,4,18,7,12,20,20,44,39,4,18,3,1,25,0,10
'060215C0200',6,6,29,38,4,9,2,8,9,21,40,52,3,19,1,5,36,0,12
'060216B0100',6,5,30,31,4,14,2,14,13,23,38,43,1,24,0,1,41,0,12
'060216C0100',6,5,30,31,6,20,4,11,9,27,46,48,1,15,3,4,38,0,8
'060216C0200',6,5,29,24,8,16,3,15,17,20,46,69,3,12,1,1,31,0,11
'060216C0300',6,5,24,41,9,17,4,19,15,16,42,45,4,13,0,2,29,0,8
'060217B0100',6,5,20,18,7,13,5,14,14,11,45,37,0,13,2,1,25,0,10
'060217C0100',6,5,17,26,4,12,3,15,11,21,43,34,1,15,2,1,27,0,6
'060218B0100',6,2,30,33,5,17,3,18,8,29,32,46,6,20,2,4,33,0,12
'060219B0100',6,2,20,25,8,17,1,18,19,19,44,49,3,21,2,3,20,0,10
'060219C0100',6,2,29,25,5,12,4,20,13,29,37,59,6,23,1,2,25,0,11
'060220B0100',6,2,20,30,5,17,5,13,12,26,31,39,0,22,4,0,21,0,9
'060221B0100',6,6,17,29,4,18,1,15,15,14,42,27,4,14,0,6,31,1,8
'060221C0100',6,6,15,22,3,16,4,20,10,12,44,33,3,16,2,4,27,0,12
'060222B0100',6,5,8,13,3,11,1,7,5,3,13,18,0,8,2,3,15,0,5
'060222E0100',6,5,10,10,6,6,1,5,6,12,21,25,2,14,1,0,10,0,5
'060223B0100',6,5,37,37,9,19,2,14,23,23,60,58,3,22,2,6,37,0,14
'060223E0100',6,5,3,9,2,2,1,5,1,6,5,9,1,3,0,0,5,0,2
'060224B0100',6,5,12,24,2,8,1,7,8,21,27,40,1,11,0,0,15,0,11
'060225B0100',6,5,19,30,6,16,4,16,12,24,34,37,2,20,1,4,25,0,6
'060225C0100',6,5,16,34,3,12,5,12,4,19,41,41,4,24,2,3,32,0,8
'060226B0100',6,5,27,27,9,14,1,16,14,14,23,43,2,20,0,1,25,0,9
'060226E0100',6,5,13,22,5,8,0,7,7,13,22,27,6,10,0,1,14,2,4
'060226E0200',6,5,13,12,3,3,1,3,2,20,30,24,2,13,2,1,11,0,5
'060227B0100',6,5,31,36,3,20,9,18,12,21,42,63,3,20,3,3,41,0,17
'060227E0100',6,5,8,10,2,7,0,6,4,14,26,19,4,12,0,0,10,0,3
'060228B0100',6,5,21,27,4,10,0,21,15,13,37,42,4,13,1,1,22,0,14
'060228C0100',6,5,18,23,4,16,1,11,11,17,29,34,2,14,2,5,25,0,2
'060228E0100',6,5,11,17,4,10,1,8,9,7,24,23,2,6,0,0,12,0,3
'060228E0200',6,5,33,28,6,17,3,16,18,23,44,54,2,12,2,0,31,0,12
'060228E0300',6,5,11,13,1,6,0,11,4,10,28,22,1,18,0,2,14,0,7
'060229B0100',6,5,10,12,4,9,1,5,3,11,21,16,0,9,0,1,9,0,5
'060230B0100',6,6,36,31,3,16,6,21,13,28,52,54,1,22,0,4,48,0,10
'060230C0100',6,6,29,36,9,21,3,18,17,24,46,58,1,17,1,2,36,0,8
'060230E0100',6,6,29,31,7,11,5,26,10,26,33,47,4,18,3,1,44,1,12
'060230E0101',6,6,17,34,7,17,6,19,16,20,40,56,3,25,1,1,28,0,11
'060231B0100',6,5,14,11,2,6,2,3,1,9,18,15,3,8,0,1,10,1,7
'060231E0100',6,5,6,6,2,7,1,8,4,6,9,12,0,2,2,0,4,0,4
'060232B0100',6,6,17,22,4,11,1,17,6,22,30,33,2,7,1,1,22,0,9
'060232C0100',6,6,18,19,2,23,2,14,12,8,25,36,0,17,2,3,15,0,10
'060232E0100',6,6,17,16,2,9,1,11,8,10,21,21,2,12,1,1,21,0,10
'060233B0100',6,6,18,30,3,13,3,16,15,22,39,47,5,18,2,2,28,0,16
'060233C0100',6,6,28,27,4,16,4,20,13,17,45,40,3,25,2,2,32,0,9
'060233E0100',6,6,17,18,1,7,2,13,7,10,21,39,2,15,1,2,15,0,7
'060233E0101',6,6,17,18,4,11,4,11,7,9,35,26,3,12,0,4,22,0,11
'060234B0100',6,6,20,41,11,23,4,27,12,17,50,66,3,21,4,2,51,1,13
'060234C0100',6,6,42,28,10,21,11,17,23,37,49,65,3,21,3,2,35,1,13
'060234C0200',6,6,32,37,5,17,4,21,18,30,50,68,1,16,3,2,44,1,12
'060235B0100',6,5,30,39,9,20,3,25,22,22,45,47,5,21,0,4,21,0,10
'060235C0100',6,5,32,24,4,15,5,13,9,18,54,51,5,19,2,0,35,0,11
'060236B0100',6,5,22,32,5,14,4,23,10,24,42,44,0,24,4,1,34,0,11
'060236C0100',6,5,31,35,8,25,2,14,16,22,67,35,3,20,0,3,28,0,10
'060236C0200',6,5,17,27,12,20,4,26,9,15,63,40,7,25,1,3,33,1,10
'060236C0300',6,5,23,30,2,18,4,16,17,31,52,52,6,28,0,1,38,0,18
'060236C0400',6,5,28,29,5,21,5,16,19,19,43,52,7,21,1,4,41,0,9
'060236E0100',6,5,34,28,8,21,6,19,17,23,57,63,5,20,2,6,38,2,15
'060236E0101',6,5,23,49,2,21,4,18,18,23,62,60,2,21,0,6,30,0,11
