CLAVE_CASILLA,ID_ESTADO,estrato,PAN,PRI,PRD,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,PT,MORENA,PT_MORENA,PVEM,MC,PES,RSP,FPM,CI1,CI2,CI3,CNR,NULOS
'160528B0100',16,18,14,7,7,19,21,17,10,24,16,32,22,19,2,4,16,1,51,20,0,7
'160529B0100',16,6,18,7,4,16,16,21,9,14,11,20,24,25,3,0,20,0,45,19,0,5
'160530B0100',16,6,16,3,2,11,2,13,3,17,2,15,10,19,11,3,7,0,34,15,0,1
'160531B0100',16,6,14,13,7,24,13,25,5,18,11,27,18,22,6,0,26,1,46,8,0,3
'160532B0100',16,6,15,9,5,10,10,22,5,7,5,16,21,23,8,1,17,1,30,10,0,0
'160532C0100',16,6,19,2,3,17,11,17,5,16,9,20,10,18,8,2,4,3,27,8,1,1
'160533B0100',16,6,2,2,1,1,3,1,4,2,1,2,4,3,1,0,3,0,17,2,0,0
'160534B0100',16,6,16,9,5,21,13,22,6,17,7,21,23,23,11,2,18,4,41,21,0,3
'160535B0100',16,6,1,1,2,3,1,4,2,5,0,5,6,1,3,0,1,0,6,5,0,0
'160536B0100',16,6,6,1,2,5,6,7,4,5,2,8,6,1,1,1,5,0,14,4,0,1
'160537B0100',16,6,9,12,3,11,5,17,5,5,5,12,9,18,7,1,8,2,21,7,0,1
'160538B0100',16,6,6,6,3,12,5,17,3,11,6,16,16,27,8,0,8,1,22,11,0,1
'160539B0100',16,6,19,8,7,7,4,19,6,21,8,16,8,14,5,1,9,3,31,11,2,3
'160540B0100',16,6,7,2,5,7,7,5,5,4,1,6,9,8,5,0,3,0,14,4,0,2
'160541B0100',16,6,7,3,0,4,5,5,1,14,2,8,10,8,3,1,4,2,23,4,0,3
'160542B0100',16,18,27,10,5,31,15,26,8,19,10,27,25,25,10,1,23,2,53,25,0,4
'160543B0100',16,6,1,3,3,2,4,9,4,4,1,3,2,8,2,0,5,0,14,4,0,0
'160544B0100',16,6,15,8,3,19,9,15,4,6,5,16,16,11,10,0,11,1,27,12,1,7
'160544C0100',16,6,12,9,7,15,7,19,5,12,5,14,9,13,4,1,15,0,33,13,0,3
'160545B0100',16,6,16,9,3,12,10,16,8,10,6,24,15,22,5,2,13,2,40,8,0,4
'160545C0100',16,6,8,5,3,24,13,16,8,9,1,16,15,21,5,0,28,1,43,9,0,3
'160546B0100',16,18,20,14,7,24,14,21,13,21,5,30,28,37,7,0,27,0,53,17,0,4
'160546C0100',16,18,28,11,8,23,19,18,15,25,13,26,22,31,18,1,16,2,48,27,1,2
'160546C0200',16,18,24,8,15,30,14,24,8,30,8,36,28,34,7,2,24,2,63,19,0,0
'160546C0300',16,18,31,10,6,25,23,24,6,25,7,33,23,27,12,5,15,4,54,15,2,10
'160547B0100',16,6,5,5,3,3,6,12,3,3,4,9,11,7,2,0,4,1,11,2,1,1
'160548B0100',16,18,21,10,4,19,16,20,6,15,2,26,16,30,13,2,13,1,48,19,1,1
'160549B0100',16,6,30,6,8,15,9,19,5,20,12,28,15,17,8,0,12,2,41,9,0,1
'160549C0100',16,6,21,13,9,16,16,20,4,22,6,26,22,14,12,0,14,2,46,13,0,3
'160549C0200',16,6,18,5,3,19,16,15,8,15,11,19,26,25,10,2,13,0,46,6,0,2
'160550B0100',16,18,26,5,10,17,13,15,7,26,13,20,25,25,10,3,20,1,40,23,0,2
'160551B0100',16,6,13,4,14,5,7,9,5,13,2,12,12,15,9,1,7,3,27,9,0,3
'160552B0100',16,6,7,6,2,7,2,16,5,10,0,11,7,12,3,0,11,0,16,10,0,4
'160557B0100',16,1,18,8,5,22,11,22,9,23,4,17,18,23,7,0,14,2,43,20,0,2
'160557C0100',16,1,16,7,5,22,8,20,4,20,11,32,27,22,11,0,13,2,39,16,1,6
'160558B0100',16,1,17,12,9,18,16,25,7,24,10,26,29,27,6,3,10,0,47,19,0,3
'160558C0100',16,1,21,12,3,12,13,22,3,18,6,25,16,22,8,1,17,1,34,13,0,6
'160558C0200',16,1,25,7,3,22,13,28,5,12,10,21,17,19,15,0,15,4,46,13,1,2
'160559B0100',16,1,23,8,10,18,12,22,8,19,8,17,23,25,7,0,19,0,42,22,0,3
'160559C0100',16,1,25,8,4,15,15,17,9,15,5,15,14,16,7,0,25,0,41,16,1,2
'160559C0200',16,1,23,8,7,16,12,16,8,18,3,27,16,24,8,2,17,2,37,17,0,5
'160560B0100',16,1,7,10,3,16,10,25,5,13,4,30,17,14,10,0,15,2,38,15,0,5
'160560C0100',16,1,18,7,4,15,9,18,10,14,5,19,16,20,14,1,7,2,31,19,0,7
'160561B0100',16,1,24,8,7,14,16,11,4,16,1,22,18,19,14,0,11,3,26,15,0,5
'160561C0100',16,1,21,11,7,14,9,17,4,15,9,15,14,25,4,2,16,2,35,10,1,0
'160562B0100',16,1,15,7,5,24,13,22,7,19,7,24,17,27,7,0,15,1,49,5,0,2
'160562C0100',16,1,13,8,7,24,15,17,6,14,6,19,23,25,7,2,24,1,43,20,0,4
'160563B0100',16,1,11,1,3,5,2,8,4,4,4,6,6,9,3,0,10,2,12,6,0,2
'160564B0100',16,1,12,10,3,17,18,21,5,15,5,11,13,17,6,1,14,0,33,18,0,4
'160564C0100',16,1,16,8,5,21,15,20,5,18,7,18,20,22,5,1,8,1,27,10,1,0
'160565B0100',16,1,23,7,4,10,9,20,4,16,14,23,20,20,11,4,17,2,53,20,1,4
'160566B0100',16,1,7,3,5,11,9,15,6,12,4,17,15,21,7,2,11,1,35,9,0,4
'160566C0100',16,1,18,9,4,18,8,18,5,9,4,12,19,10,7,0,11,2,33,14,0,3
'160567B0100',16,1,16,4,4,7,11,7,7,12,6,14,19,12,5,0,14,0,43,9,0,3
'160568B0100',16,1,11,8,6,16,12,19,7,11,3,10,18,17,6,2,20,0,28,9,0,5
'160568C0100',16,1,18,6,5,14,7,15,9,11,5,17,15,12,4,1,15,0,34,10,0,6
'160569B0100',16,1,8,6,2,6,10,6,2,1,5,8,6,13,5,1,11,1,19,9,0,2
'160569E0100',16,1,16,5,1,5,3,5,3,7,2,8,12,9,5,0,12,0,29,9,0,3
'160570B0100',16,1,10,1,11,12,10,19,3,11,5,15,19,25,10,0,8,0,27,10,0,4
'160570C0100',16,1,16,3,6,13,7,14,6,14,7,17,14,15,5,1,11,1,37,9,0,5
'160571B0100',16,1,10,6,9,19,8,18,4,13,3,12,18,11,2,0,13,1,25,13,1,8
'160571C0100',16,1,13,8,2,11,4,10,7,12,1,24,13,16,10,1,9,1,34,10,0,3
'160572B0100',16,13,28,12,10,20,27,20,9,23,10,26,18,33,12,2,17,1,61,20,0,11
'160572C0100',16,13,25,12,9,23,17,33,7,27,11,24,24,37,7,1,22,3,48,17,1,5
'160572C0200',16,13,22,7,6,21,21,19,13,18,9,31,31,31,7,1,14,1,48,18,0,8
'160573B0100',16,13,24,14,7,28,11,13,16,29,10,31,22,27,9,1,29,2,55,16,3,5
'160573C0100',16,13,15,17,8,23,16,24,17,25,14,41,30,37,15,0,21,0,53,15,0,4
'160574B0100',16,13,21,8,8,21,11,21,3,22,10,26,18,31,11,0,18,3,50,23,1,5
'160574C0100',16,13,15,8,8,12,10,25,10,31,3,20,18,21,7,2,29,1,44,15,0,4
'160575B0100',16,1,18,6,6,17,16,21,4,12,12,18,21,27,10,1,24,3,51,12,0,6
'160576B0100',16,1,18,8,5,14,12,9,5,7,2,14,8,18,7,1,8,3,22,8,0,6
'160577B0100',16,1,11,8,6,14,12,13,5,15,10,15,12,18,6,1,11,1,37,10,0,2
'160577C0100',16,1,20,7,5,16,9,14,4,11,4,19,13,20,12,0,11,0,31,15,0,4
'160578B0100',16,1,19,7,4,20,16,12,5,15,7,21,29,23,10,2,14,1,27,14,0,5
'160578C0100',16,1,17,8,2,18,12,21,9,13,5,18,17,22,15,1,14,1,49,14,1,8
'160579B0100',16,1,21,4,3,12,13,12,7,14,4,24,13,14,6,0,13,3,32,16,0,6
'160579C0100',16,1,15,8,7,24,15,18,6,11,8,15,13,16,12,2,14,0,38,12,0,3
'160580B0100',16,14,22,10,6,19,11,25,8,24,5,22,21,24,14,1,21,0,56,15,1,3
'160580C0100',16,14,22,15,5,19,16,19,14,18,6,22,24,27,7,1,28,0,52,15,0,3
'160581B0100',16,2,14,6,7,19,9,19,5,10,2,26,23,25,10,1,17,2,30,13,0,3
'160581C0100',16,2,13,7,4,12,9,20,6,18,8,22,17,21,11,1,16,2,36,6,0,2
'160582B0100',16,2,19,7,9,12,14,25,11,21,5,15,22,25,8,2,13,1,33,10,0,4
'160583B0100',16,2,14,5,5,16,7,14,9,14,7,11,15,14,5,0,11,0,25,5,0,6
'160583C0100',16,2,11,6,8,8,12,9,7,14,8,20,17,10,4,1,11,4,35,10,0,5
'160584B0100',16,14,25,13,9,28,23,19,9,15,10,23,17,27,11,2,21,1,54,28,0,2
'160584C0100',16,14,26,10,4,16,12,27,17,29,12,31,23,26,5,2,21,1,56,16,0,6
'160585B0100',16,14,19,9,9,18,11,25,7,28,6,24,29,26,10,1,13,1,62,14,2,6
'160586B0100',16,14,16,5,2,20,23,29,12,20,11,36,29,21,10,1,25,0,49,18,1,4
'160586C0100',16,14,23,6,7,19,24,22,12,23,5,26,24,35,8,0,18,2,54,16,0,3
'160587B0100',16,14,27,6,13,19,11,24,9,21,8,28,23,30,12,1,19,2,42,20,1,9
'160588B0100',16,14,20,7,10,16,14,20,13,20,10,22,23,25,12,1,10,4,45,10,0,2
'160588C0100',16,14,26,8,8,23,11,23,10,17,13,35,24,21,10,2,22,3,51,21,1,9
'160589B0100',16,2,21,14,5,19,11,30,8,16,4,19,14,19,9,0,23,0,42,19,0,4
'160589C0100',16,2,17,5,8,17,12,22,8,21,11,18,13,28,7,0,15,1,50,11,0,3
'160589C0200',16,2,13,6,7,21,11,27,7,14,9,32,21,24,12,0,21,1,43,13,1,4
'160590B0100',16,2,20,9,8,14,17,28,5,22,6,27,21,28,11,1,15,0,52,9,0,1
'160591B0100',16,2,21,10,5,24,14,19,11,18,6,18,26,24,9,1,20,0,50,12,1,2
'160592B0100',16,14,30,9,2,32,17,19,14,22,6,25,19,22,17,1,25,1,41,17,0,5
'160592C0100',16,14,23,10,5,23,10,22,8,27,11,32,19,26,10,2,21,3,48,16,0,5
'160593B0100',16,2,17,6,6,23,18,13,13,12,4,22,22,17,10,1,14,1,34,16,1,4
'160593C0100',16,2,15,4,7,18,20,20,8,14,5,18,19,21,14,0,24,0,46,10,0,4
'160594B0100',16,2,14,9,7,15,7,16,6,19,10,14,13,21,10,3,21,0,32,11,0,2
'160595B0100',16,2,11,5,0,13,11,9,3,11,4,12,13,25,8,0,11,1,26,7,0,1
'160596B0100',16,2,25,8,3,16,13,21,4,19,9,15,20,20,9,0,8,0,35,11,0,2
'160597B0100',16,2,18,6,3,16,17,24,11,23,5,17,18,20,11,2,15,0,40,13,1,1
'160598B0100',16,2,21,5,4,14,18,20,7,13,9,26,22,11,7,0,11,2,39,14,0,4
'160598C0100',16,2,21,13,10,12,12,22,6,12,7,17,14,22,6,1,19,2,36,13,0,3
'160599B0100',16,14,32,10,6,21,15,33,7,24,7,24,22,30,10,0,19,1,54,17,1,7
'160600B0100',16,14,33,6,7,25,12,25,9,20,9,21,27,31,18,2,18,2,52,17,0,4
'160601B0100',16,3,17,3,10,8,13,11,4,11,4,9,13,13,8,1,8,2,34,11,0,4
'160601C0100',16,3,13,8,4,8,17,19,9,11,3,15,18,16,4,1,14,1,34,11,0,3
'160602B0100',16,3,15,8,7,21,6,6,6,14,8,24,19,19,9,1,20,4,43,12,1,5
'160602C0100',16,3,16,4,7,15,10,16,5,14,2,29,23,24,6,1,21,0,34,11,0,3
'160603B0100',16,15,24,13,4,20,13,17,15,21,7,26,16,29,14,1,24,1,40,17,0,5
'160603C0100',16,15,28,9,1,12,28,35,12,22,4,33,23,23,7,2,14,4,45,12,0,6
'160604B0100',16,15,26,6,9,25,19,22,8,21,5,24,20,29,13,2,15,3,39,17,1,5
'160604C0100',16,15,26,9,4,19,19,28,13,25,10,30,23,39,9,0,21,3,61,16,1,3
'160605B0100',16,15,30,8,9,17,12,24,10,17,19,30,27,43,8,3,21,1,51,16,0,7
'160605C0100',16,15,25,10,9,20,26,27,6,23,11,25,22,32,12,0,25,2,40,13,0,7
'160606B0100',16,3,20,7,6,12,8,20,1,28,7,23,16,21,5,2,11,2,35,15,0,2
'160606C0100',16,3,20,4,5,22,19,22,7,13,8,14,19,18,5,3,15,1,33,9,1,3
'160606C0200',16,3,25,9,5,11,14,14,8,19,6,20,19,19,9,1,12,1,35,11,1,7
'160607B0100',16,15,24,11,10,25,16,25,9,16,11,25,28,29,9,1,15,4,37,20,0,8
'160607C0100',16,15,18,11,11,32,11,26,8,19,8,21,28,23,5,0,18,0,52,22,0,2
'160608B0100',16,3,22,8,7,18,13,23,7,18,9,19,18,26,13,0,17,2,35,10,0,6
'160608C0100',16,3,21,5,3,17,15,22,8,19,8,25,18,20,10,0,13,1,29,20,0,6
'160609B0100',16,15,30,10,3,12,7,28,9,20,8,35,19,33,11,1,31,2,48,19,0,7
'160609C0100',16,15,21,8,6,24,24,34,6,27,9,30,19,32,8,2,22,2,39,17,0,4
'160610B0100',16,15,20,13,5,23,19,23,6,19,7,23,28,33,11,1,19,3,36,16,0,5
'160610C0100',16,15,27,14,5,21,14,27,9,18,5,22,24,33,9,0,17,1,48,14,0,5
'160611B0100',16,15,20,10,7,20,12,16,10,12,4,31,22,27,11,1,23,0,49,18,0,2
'160611C0100',16,15,26,10,10,20,18,24,10,19,8,17,17,27,10,3,18,0,43,11,0,5
'160612B0100',16,3,18,4,3,13,10,23,8,18,10,15,12,16,11,1,10,0,25,20,0,5
'160612C0100',16,3,15,7,5,10,6,12,6,15,9,17,19,21,9,5,18,1,29,6,1,1
'160613B0100',16,15,23,10,6,15,17,21,5,25,9,26,16,28,8,1,13,3,46,19,2,6
'160613C0100',16,15,16,13,9,18,13,15,7,22,8,24,17,31,6,3,16,1,60,21,1,5
'160613C0200',16,15,31,12,9,16,13,25,5,26,10,21,19,20,8,2,22,2,42,16,0,2
'160613C0300',16,15,22,4,5,19,12,16,11,17,9,23,23,21,6,1,15,3,47,11,0,5
'160614B0100',16,3,18,8,6,22,13,17,11,16,7,25,19,19,12,1,18,1,36,8,0,4
'160614C0100',16,3,11,8,6,20,17,18,13,13,8,21,24,18,13,0,12,1,30,18,0,6
'160614C0200',16,3,28,8,4,9,16,24,8,16,5,21,20,19,4,1,9,2,38,15,0,1
'160615B0100',16,3,15,5,5,8,10,8,10,11,5,15,26,13,8,1,6,2,30,8,0,1
'160616B0100',16,15,21,9,7,26,15,19,7,23,4,27,22,20,9,1,15,0,51,17,0,5
'160617B0100',16,3,8,4,1,7,4,16,5,5,2,5,6,10,6,1,8,0,18,8,0,4
'160618B0100',16,3,13,4,2,12,9,15,7,9,2,19,18,15,6,0,9,0,18,7,0,2
'160619B0100',16,15,17,14,7,20,17,26,8,17,10,22,27,27,12,1,19,2,61,14,0,4
'160621B0100',16,3,19,9,4,13,17,19,9,13,7,25,19,33,12,1,18,3,47,13,1,4
'160622B0100',16,15,28,8,9,23,21,32,10,23,10,33,21,18,17,3,20,1,50,22,1,4
'160623B0100',16,3,10,4,5,16,10,20,4,18,7,11,18,15,6,2,14,0,25,11,0,4
'160623C0100',16,3,15,6,3,12,10,22,7,19,5,19,14,19,3,0,10,0,21,13,1,5
'160624B0100',16,3,12,1,4,8,7,8,5,8,1,13,6,16,6,0,11,1,24,3,0,1
'160625B0100',16,3,25,10,5,19,10,24,6,22,6,21,16,22,5,0,20,2,58,13,0,4
'160626B0100',16,3,4,1,2,11,5,8,3,5,2,8,6,5,4,1,7,0,12,4,1,2
'160627B0100',16,3,17,2,3,19,8,15,3,13,2,19,13,26,9,1,10,1,41,12,0,2
'160627C0100',16,3,10,6,8,15,6,18,2,12,7,13,14,20,5,1,11,0,21,8,0,3
'160628B0100',16,15,21,12,5,17,18,20,8,17,2,30,19,31,6,0,26,0,40,16,0,9
'160628C0100',16,3,22,10,4,13,15,25,14,21,8,31,15,18,6,0,13,2,43,22,0,7
'160629B0100',16,15,22,10,7,16,15,27,14,24,13,25,16,24,7,0,19,2,41,16,0,3
'160630B0100',16,3,13,8,3,10,9,11,10,16,9,17,14,21,6,0,14,0,23,13,0,3
'160631B0100',16,3,7,4,3,9,12,14,4,9,10,18,16,21,7,2,12,0,20,9,0,0
'160632B0100',16,3,18,7,7,14,11,18,5,18,8,26,16,21,10,1,15,1,31,13,1,6
'160632C0100',16,3,16,8,9,15,14,18,10,25,7,16,18,17,7,1,13,1,36,19,0,4
'160633B0100',16,3,14,2,3,11,14,17,5,16,4,11,12,17,11,0,10,4,24,7,0,3
'160633C0100',16,3,8,8,2,14,7,15,6,11,4,16,13,14,4,1,11,1,29,15,0,2
'160634B0100',16,3,17,4,9,7,15,16,10,12,5,13,21,20,7,0,11,3,36,10,1,2
'160634C0100',16,3,18,5,0,14,9,27,6,15,4,24,9,20,5,0,8,2,36,11,0,4
'160635B0100',16,15,28,6,3,27,16,30,10,22,8,22,22,21,15,1,23,5,43,16,0,4
'160636B0100',16,3,3,3,1,7,6,8,2,5,2,1,6,2,3,0,3,0,10,5,0,2
'160637B0100',16,3,5,1,1,2,5,2,0,4,4,3,7,7,1,0,5,0,9,1,0,0
'160638B0100',16,3,6,2,3,2,6,1,2,6,1,4,8,7,6,0,5,0,15,8,0,1
'160639B0100',16,3,4,1,4,4,4,1,1,8,1,2,2,2,1,1,2,1,11,5,0,1
'160640B0100',16,3,19,5,6,14,12,21,6,12,12,26,9,20,14,0,23,0,35,13,0,10
'160641B0100',16,3,11,6,8,8,4,13,3,16,3,12,20,18,6,0,7,1,23,5,0,5
'160642B0100',16,3,11,13,4,15,16,16,10,16,12,15,17,25,6,1,12,2,42,6,0,4
'160643B0100',16,3,5,3,1,5,1,10,1,9,4,5,10,13,3,0,5,2,13,6,0,2
'160644B0100',16,3,16,6,4,17,11,13,5,12,4,13,22,13,4,1,10,0,24,3,2,3
'160645B0100',16,3,10,7,4,14,10,6,6,11,3,8,7,8,5,0,7,1,23,6,0,2
'160646B0100',16,3,11,1,3,3,10,5,2,9,3,10,5,10,5,0,10,0,26,2,1,7
'160647B0100',16,23,30,11,12,16,19,29,5,23,12,31,21,26,8,3,25,3,52,19,0,5
'160647C0100',16,23,24,10,9,22,17,26,13,23,8,21,26,25,12,1,26,0,61,27,0,5
'160647C0200',16,23,27,10,4,26,24,34,10,26,10,26,25,29,14,1,21,1,50,13,0,3
'160647C0300',16,23,28,14,9,25,21,33,7,19,11,29,20,34,14,3,15,2,52,20,1,4
'160648B0100',16,11,13,8,3,15,12,22,4,22,8,24,20,17,9,0,15,4,32,14,0,4
'160648C0100',16,11,15,7,6,7,9,15,6,19,7,17,13,29,5,1,24,4,28,19,1,3
'160649B0100',16,23,32,9,7,27,12,24,9,29,12,21,29,33,14,1,16,4,57,17,1,9
'160650B0100',16,11,14,11,6,19,15,20,6,17,11,28,15,23,13,1,9,0,52,20,1,6
'160650C0100',16,11,21,13,5,13,21,16,10,22,7,21,24,29,12,1,17,1,42,13,0,5
'160650E0100',16,23,30,10,5,26,20,19,10,21,11,24,23,42,10,2,29,3,50,19,0,3
'160650E0200',16,11,11,8,5,10,19,12,9,17,4,26,22,21,7,0,16,1,39,8,0,1
'160651B0100',16,14,24,15,4,23,18,28,3,26,5,22,16,41,9,4,18,2,46,13,0,3
'160651C0100',16,14,17,13,6,19,19,24,9,18,7,23,20,21,12,2,13,0,46,14,1,2
'160651C0200',16,14,30,14,9,14,19,16,9,18,8,20,15,23,12,2,18,1,46,19,0,9
'160651C0300',16,14,17,7,7,24,25,35,8,18,6,20,25,28,13,0,13,1,45,14,0,5
'160652B0100',16,2,13,4,8,18,13,28,11,18,9,21,21,28,9,0,17,1,34,14,1,5
'160652C0100',16,2,18,9,6,19,11,15,5,9,10,24,23,25,8,1,11,1,36,10,1,3
'160652C0200',16,2,16,7,7,21,13,24,6,11,6,22,22,30,10,0,16,1,37,9,0,1
'160653B0100',16,14,26,12,11,21,21,21,9,17,11,22,27,36,13,1,17,2,46,20,1,3
'160653C0100',16,14,29,7,4,32,16,31,12,26,12,23,29,26,17,4,19,1,58,23,0,15
'160654B0100',16,2,16,8,5,23,14,17,7,12,9,18,15,20,8,0,13,3,40,8,1,3
'160654C0100',16,2,17,6,11,23,16,18,5,18,10,21,12,21,7,1,18,2,43,13,0,2
'160654C0200',16,2,23,6,9,12,15,17,8,16,3,33,19,23,9,2,15,0,32,13,0,7
'160655B0100',16,2,19,6,7,17,12,19,4,16,2,18,22,19,11,0,20,5,24,9,0,4
'160655C0100',16,2,13,7,6,14,20,20,2,21,7,23,13,21,9,1,11,2,28,10,1,7
'160656B0100',16,2,18,6,4,17,3,27,5,13,8,14,13,27,10,1,21,0,33,18,1,4
'160657B0100',16,2,20,5,6,13,14,24,7,19,4,25,30,24,14,2,18,5,40,23,0,6
'160658B0100',16,2,11,4,2,13,5,14,4,21,3,9,12,18,10,1,11,1,36,8,0,5
'160659B0100',16,14,22,6,11,18,14,28,12,16,8,30,24,25,6,1,24,1,56,14,1,8
'160659C0100',16,14,19,9,6,13,9,30,6,29,6,25,23,35,6,3,21,3,52,15,0,8
'160659C0200',16,14,25,6,7,25,18,31,11,20,8,27,22,23,13,2,22,1,54,10,0,5
'160659C0300',16,14,19,12,7,14,14,22,7,26,4,16,25,30,13,1,17,0,45,20,1,7
'160660B0100',16,2,14,7,6,14,6,16,10,12,5,13,8,22,5,0,13,2,33,9,0,4
'160660C0100',16,2,12,7,4,16,16,9,8,12,7,13,8,20,9,0,20,1,29,16,0,4
'160661B0100',16,2,7,2,4,3,6,7,3,4,4,7,9,6,2,0,3,0,15,2,0,2
'160662B0100',16,2,16,6,6,10,13,16,7,12,2,19,14,24,4,0,11,1,29,10,0,6
'160664B0100',16,2,3,3,3,6,2,9,2,3,2,7,3,5,2,0,3,1,9,1,0,0
'160665B0100',16,18,27,9,12,19,16,19,10,21,13,21,21,27,19,1,20,2,61,22,0,2
'160665C0100',16,18,23,8,12,23,18,21,15,20,7,35,22,19,15,2,19,2,51,16,0,4
'160665C0200',16,18,23,4,12,19,21,25,9,29,16,32,35,33,8,0,15,3,52,20,0,3
'160665C0300',16,18,21,5,8,15,10,26,10,22,9,28,30,30,11,0,20,1,60,17,0,7
'160665C0400',16,18,30,9,9,18,24,33,13,16,8,32,27,24,10,1,24,1,45,12,1,7
'160666B0100',16,18,22,11,10,23,19,30,13,23,6,19,31,29,10,1,25,3,48,17,2,4
'160666C0100',16,18,32,13,5,22,12,30,16,26,11,27,21,30,18,3,19,3,45,13,0,5
'160666C0200',16,18,23,8,8,24,24,22,13,32,9,26,25,25,13,1,21,2,51,24,0,7
'160667B0100',16,6,13,4,5,14,10,11,4,13,7,14,8,13,5,2,12,3,23,14,0,0
'160668B0100',16,6,27,8,2,13,17,17,5,20,8,18,24,23,15,3,15,2,40,14,1,7
'160668C0100',16,6,18,11,9,20,21,26,10,22,14,20,15,18,9,0,15,0,47,11,0,4
'160669B0100',16,18,20,11,7,20,17,16,4,21,11,22,30,30,7,0,15,4,49,21,0,4
'160669C0100',16,18,23,6,10,16,13,30,9,24,9,18,21,30,10,2,25,1,40,13,0,8
'160669C0200',16,18,16,13,5,13,16,19,9,17,4,22,22,25,12,2,10,2,39,14,1,8
'160670B0100',16,6,16,8,4,23,13,27,5,13,10,18,21,18,8,1,10,0,31,11,0,1
'160670C0100',16,6,20,8,12,14,10,17,9,12,7,12,14,18,10,3,23,0,29,7,1,6
'160671B0100',16,6,18,8,8,16,17,19,7,23,11,28,22,28,13,0,18,0,26,19,0,2
'160672B0100',16,6,24,8,3,18,15,23,7,21,8,29,21,18,10,2,19,0,59,16,0,3
'160672C0100',16,6,22,13,8,23,7,24,11,17,12,21,18,32,9,1,19,1,45,11,1,5
'160672C0200',16,6,30,10,6,28,17,23,4,11,9,28,13,20,11,0,13,3,44,10,0,5
'160672C0300',16,6,19,5,6,14,19,24,10,21,9,24,29,20,9,2,23,2,44,14,0,4
'160673B0100',16,17,28,12,10,28,17,21,13,25,10,28,24,30,9,2,24,2,58,18,0,8
'160673C0100',16,17,28,7,8,30,21,29,11,18,14,33,37,34,15,1,24,2,57,14,0,6
'160674B0100',16,5,20,8,4,18,4,27,6,15,8,18,17,24,8,0,15,1,44,8,1,4
'160674C0100',16,5,28,6,5,17,13,15,3,17,8,20,17,18,7,2,22,1,44,10,0,2
'160675B0100',16,5,26,6,5,18,9,22,10,12,4,18,22,17,14,1,16,3,41,20,0,4
'160675C0100',16,5,16,7,5,11,17,24,6,18,7,20,24,19,12,0,16,0,44,14,0,5
'160676B0100',16,17,22,7,7,18,16,26,10,19,9,23,22,25,9,1,16,4,57,17,0,2
'160677B0100',16,17,25,10,7,24,15,33,8,29,16,22,30,24,9,3,22,3,42,18,0,2
'160678B0100',16,5,17,7,11,17,7,19,9,8,7,12,7,21,6,0,14,2,35,11,0,4
'160678C0100',16,5,24,7,13,11,9,15,0,14,8,16,13,22,13,1,20,1,35,6,0,3
'160678E0100',16,17,21,11,8,24,9,25,12,19,7,27,21,22,16,2,19,0,55,16,0,4
'160679B0100',16,5,10,1,4,12,9,14,5,13,5,12,6,21,12,1,17,1,32,12,0,7
'160679C0100',16,5,12,11,5,5,11,15,5,11,4,22,18,14,4,2,13,2,30,10,0,1
'160680B0100',16,5,20,4,7,16,11,19,4,17,11,19,27,18,12,1,15,3,49,13,0,3
'160681B0100',16,5,10,5,6,10,10,20,3,14,2,18,15,20,11,1,13,1,33,10,0,5
'160681C0100',16,5,12,7,4,9,10,11,7,12,7,15,17,12,5,0,10,1,33,11,0,2
'160682B0100',16,17,14,11,10,22,17,28,5,17,11,27,27,28,5,1,16,1,50,12,0,3
'160682C0100',16,17,25,12,6,20,18,25,7,21,10,23,31,26,3,1,16,2,54,14,0,5
'160683B0100',16,17,27,21,4,16,18,28,7,26,13,38,22,31,20,2,26,3,54,16,1,4
'160683E0100',16,17,11,11,8,24,16,20,4,21,8,34,27,26,12,1,21,2,51,15,0,5
'160684B0100',16,5,20,7,3,13,12,21,6,22,8,20,20,16,9,0,15,4,46,20,1,6
'160685B0100',16,7,30,8,8,16,9,27,7,13,7,15,25,33,7,0,13,1,38,12,0,5
'160685C0100',16,7,18,7,8,19,12,22,8,15,9,15,27,20,8,2,23,1,46,9,0,6
'160686B0100',16,7,20,12,5,18,10,22,7,13,7,22,11,17,11,2,17,0,32,17,0,2
'160686C0100',16,7,15,6,4,13,15,13,2,16,5,21,15,25,9,1,17,1,30,13,1,2
'160687B0100',16,19,34,9,8,18,28,29,10,31,7,29,27,31,8,2,24,2,60,24,0,6
'160687C0100',16,19,32,6,10,22,25,28,15,25,13,34,32,24,8,2,24,2,50,14,1,9
'160688B0100',16,19,15,11,7,20,12,30,14,20,5,26,27,32,14,3,28,1,51,15,0,7
'160688C0100',16,19,21,8,4,20,19,29,9,25,12,20,23,30,6,0,18,3,53,15,0,7
'160688C0200',16,19,28,6,9,25,26,25,8,18,4,17,27,26,16,0,27,0,36,20,1,7
'160688C0300',16,19,20,11,8,19,20,24,12,20,6,18,14,35,11,1,25,1,44,18,0,4
'160688C0400',16,19,27,14,2,18,19,27,5,16,9,30,25,34,10,0,21,2,41,17,0,7
'160689B0100',16,19,22,8,5,23,16,26,12,25,8,20,28,30,12,1,19,2,55,12,0,7
'160689C0100',16,19,19,6,9,23,15,23,12,17,9,30,22,24,11,2,19,4,51,15,0,7
'160690B0100',16,19,23,11,10,23,12,19,7,25,9,27,26,26,11,2,13,0,43,22,0,3
