CLAVE_CASILLA,ID_ESTADO,estrato,PAN,PRD,PAN_PRD,PRI,PVEM,PT,MORENA,PANAL,PT_MORENA_PANAL,PT_MORENA,PT_PANAL,MORENA_PANAL,MC,PES,RSP,FPM,CI1,CI2,CNR,NULOS
'080608C0200',8,15,37,30,0,1,8,2,67,25,24,4,22,41,14,8,4,0,2,20,32,21
'083278B0100',8,15,26,40,1,1,10,5,37,15,7,14,20,32,17,3,3,2,0,20,28,22
'080839C0400',8,15,24,41,0,1,11,1,61,28,17,9,19,30,23,7,7,1,0,16,19,33
'080608E0502',8,15,21,51,0,0,6,5,51,25,19,8,24,38,20,3,8,6,0,22,24,31
'080697B0100',8,15,19,37,1,2,5,2,49,18,14,10,15,38,9,2,4,1,0,20,19,17
'082849B0100',8,15,31,42,0,3,9,2,67,31,12,16,18,32,10,3,8,2,0,26,22,17
'080608E0102',8,15,33,42,0,3,15,1,51,20,19,11,24,39,17,6,10,2,0,26,29,27
'083266C0200',8,15,24,37,0,0,10,4,50,35,17,12,15,38,11,2,7,0,0,17,21,20
'083179B0100',8,15,23,56,0,2,5,2,68,29,22,11,28,39,18,7,5,1,0,26,20,19
'080765B0100',8,15,26,34,0,1,3,2,46,22,14,7,17,44,15,4,3,3,0,16,14,23
'080277B0100',8,16,26,38,1,2,6,2,49,21,25,7,18,35,12,7,8,4,3,17,18,21
'081183B0100',8,16,23,38,0,0,7,7,54,22,17,7,17,36,15,1,10,0,0,24,17,21
'080276C0300',8,16,19,35,1,0,8,3,63,25,16,7,23,42,13,7,6,4,1,25,29,20
'082472B0100',8,16,29,52,0,2,7,3,46,35,14,9,14,43,10,2,8,0,0,31,29,13
'080297C1100',8,16,21,43,0,0,7,4,58,29,15,10,23,34,13,4,5,1,1,22,27,20
'080369C0300',8,16,22,45,0,3,6,1,57,29,27,9,17,27,15,7,10,2,0,21,23,16
'080332C0300',8,16,15,47,0,1,5,5,71,35,17,7,13,38,22,7,7,2,1,15,14,31
'082466C0100',8,16,19,36,1,1,10,3,44,21,12,10,24,39,11,4,9,1,0,19,23,14
'080144C0100',8,16,10,41,0,3,5,3,50,20,17,8,19,30,17,3,8,4,1,14,13,17
'080348C0200',8,16,26,36,0,4,7,0,62,14,18,12,20,38,14,2,6,3,0,20,27,21
'080272C0200',8,16,16,43,0,1,9,5,52,28,14,15,31,24,15,4,7,4,0,18,22,19
'080332C0400',8,16,22,45,0,0,8,5,60,26,17,18,17,40,19,4,7,4,0,32,21,25
'080136C0200',8,16,22,28,0,0,4,7,43,24,11,9,20,33,11,5,4,1,1,19,25,22
'080137B0100',8,16,19,52,0,1,6,2,55,31,20,8,15,23,21,5,8,3,2,27,24,24
'080284C0300',8,16,20,60,0,1,2,2,64,29,19,10,30,34,14,0,9,0,2,19,19,26
'080628B0100',8,17,17,51,0,0,14,4,58,24,14,7,13,27,17,5,6,1,0,15,25,19
'083248B0100',8,17,29,34,0,2,7,3,57,21,18,7,17,28,18,6,3,1,0,14,21,19
'083232B0100',8,17,13,33,0,2,3,7,50,25,10,7,13,23,13,3,5,0,0,20,24,14
'080478B0100',8,17,24,46,0,1,4,4,43,36,14,10,17,38,25,4,6,4,0,26,19,26
'083221C0200',8,17,19,34,0,1,6,2,51,27,9,10,21,40,11,2,7,4,0,18,16,15
'083244B0100',8,17,22,37,0,0,5,3,68,30,16,6,24,31,13,5,4,0,0,23,32,14
'080872C0200',8,17,18,48,0,3,8,4,53,18,15,8,14,36,16,4,5,1,0,14,18,22
'083290C0300',8,17,26,52,0,0,11,2,65,32,13,12,20,32,20,4,5,0,1,21,22,23
'080878C0100',8,17,20,35,0,3,6,3,56,15,19,9,14,36,19,2,9,3,0,30,30,22
'083257B0100',8,17,19,60,0,1,5,2,68,37,18,14,16,43,25,3,7,3,0,26,25,25
'080446B0100',8,17,21,40,1,1,6,4,61,24,17,7,11,24,12,3,6,4,1,15,25,22
'080612C0400',8,17,29,40,0,1,8,4,57,30,12,14,23,39,7,5,5,5,0,25,16,29
'080715B0100',8,17,22,39,0,1,7,2,59,27,16,13,26,35,20,5,7,1,2,25,31,25
'080793B0100',8,17,27,59,1,2,6,2,75,39,13,12,15,41,15,7,3,3,0,19,32,16
'080849C0100',8,17,23,45,0,1,5,2,77,24,21,7,24,37,15,3,8,5,2,19,15,28
'080612C0200',8,17,16,35,0,1,7,3,47,26,11,14,21,37,9,7,7,3,1,26,20,22
'080671B0100',8,17,23,47,1,2,5,6,47,19,15,15,19,35,14,9,9,2,1,22,17,20
'080864B0100',8,17,22,42,0,1,3,3,36,26,13,13,8,33,21,2,5,2,0,14,15,16
'080538C0100',8,17,20,37,2,1,8,4,57,16,17,6,14,36,16,2,5,3,1,25,25,21
'083303B0100',8,17,23,34,0,2,6,2,53,22,14,8,22,29,14,0,5,4,0,18,15,28
'080589B0100',8,17,26,42,1,1,8,2,41,24,9,3,15,34,16,2,9,5,0,25,24,20
'080534C0100',8,17,26,41,1,2,3,3,48,21,13,8,13,42,12,1,8,2,0,20,23,18
'081281C0200',8,18,28,57,0,1,12,1,60,19,12,18,26,38,18,8,4,2,0,17,25,19
'081337C0100',8,18,32,39,0,0,10,1,46,31,19,11,27,38,14,1,10,2,2,35,24,27
'081301B0100',8,18,21,48,0,0,3,4,56,24,14,4,11,29,10,5,4,2,0,20,26,31
'081281C0600',8,18,21,40,0,1,4,0,57,28,19,7,18,37,12,1,7,1,0,34,30,31
'081272C0300',8,18,21,31,0,2,7,1,54,27,16,6,16,31,9,3,10,2,1,20,18,22
'080116C0100',8,18,21,36,1,2,1,1,53,16,18,10,16,26,13,2,6,3,0,23,21,22
'082588B0100',8,18,23,36,0,1,3,3,48,23,21,10,23,28,11,7,3,2,0,27,20,28
'081345B0100',8,18,33,51,0,2,5,3,58,31,13,12,28,43,16,1,3,3,2,31,27,17
'080116B0100',8,18,23,53,0,2,4,3,60,27,11,5,17,27,13,2,6,4,1,25,11,14
'081107C0100',8,18,20,45,1,0,5,2,49,23,13,12,25,37,9,8,6,5,1,15,26,15
'080221C0100',8,18,16,41,1,0,7,4,44,26,13,9,20,25,8,0,3,3,0,19,24,24
'081118B0100',8,18,19,36,0,0,5,3,34,24,19,8,19,27,9,6,4,2,0,14,28,10
